PeriodoNum;Municipio;CantidadPacientes
201601;05001 - Medellín;129
201602;05001 - Medellín;120
201603;05001 - Medellín;156
201604;05001 - Medellín;148
201605;05001 - Medellín;181
201606;05001 - Medellín;168
201607;05001 - Medellín;171
201608;05001 - Medellín;189
201609;05001 - Medellín;194
201610;05001 - Medellín;174
201611;05001 - Medellín;173
201612;05001 - Medellín;159
201607;05002 - Abejorral;1
201611;05002 - Abejorral;1
201604;05034 - Andes;1
201605;05034 - Andes;1
201606;05034 - Andes;2
201607;05034 - Andes;1
201609;05034 - Andes;1
201603;05038 - Angostura;1
201611;05038 - Angostura;1
201601;05042 - Santafé De Antioquia;1
201602;05042 - Santafé De Antioquia;2
201603;05042 - Santafé De Antioquia;1
201605;05042 - Santafé De Antioquia;1
201610;05042 - Santafé De Antioquia;1
201612;05042 - Santafé De Antioquia;1
201601;05045 - Apartadó;9
201602;05045 - Apartadó;12
201603;05045 - Apartadó;13
201604;05045 - Apartadó;8
201605;05045 - Apartadó;7
201606;05045 - Apartadó;7
201607;05045 - Apartadó;8
201608;05045 - Apartadó;12
201609;05045 - Apartadó;9
201610;05045 - Apartadó;12
201611;05045 - Apartadó;7
201612;05045 - Apartadó;5
201603;05051 - Arboletes;1
201606;05059 - Armenia;1
201608;05059 - Armenia;2
201610;05059 - Armenia;1
201604;05079 - Barbosa;1
201605;05079 - Barbosa;1
201608;05079 - Barbosa;1
201609;05079 - Barbosa;1
201610;05079 - Barbosa;1
201611;05079 - Barbosa;1
201601;05088 - Bello;17
201602;05088 - Bello;18
201603;05088 - Bello;18
201604;05088 - Bello;14
201605;05088 - Bello;12
201606;05088 - Bello;10
201607;05088 - Bello;12
201608;05088 - Bello;13
201609;05088 - Bello;16
201610;05088 - Bello;18
201611;05088 - Bello;14
201612;05088 - Bello;20
201606;05091 - Betania;1
201607;05091 - Betania;1
201608;05091 - Betania;2
201605;05101 - Ciudad Bolívar;2
201611;05101 - Ciudad Bolívar;1
201601;05129 - Caldas;1
201602;05129 - Caldas;1
201604;05129 - Caldas;2
201605;05129 - Caldas;1
201606;05129 - Caldas;3
201608;05129 - Caldas;3
201609;05129 - Caldas;2
201610;05129 - Caldas;5
201611;05129 - Caldas;1
201612;05129 - Caldas;4
201607;05147 - Carepa;1
201610;05147 - Carepa;2
201612;05147 - Carepa;2
201601;05148 - El Carmen De Viboral;1
201605;05148 - El Carmen De Viboral;1
201607;05148 - El Carmen De Viboral;1
201608;05148 - El Carmen De Viboral;1
201611;05148 - El Carmen De Viboral;1
201601;05154 - Caucasia;1
201606;05154 - Caucasia;1
201607;05154 - Caucasia;1
201610;05154 - Caucasia;1
201603;05190 - Cisneros;1
201605;05190 - Cisneros;1
201606;05190 - Cisneros;2
201607;05190 - Cisneros;1
201603;05209 - Concordia;1
201604;05209 - Concordia;1
201605;05209 - Concordia;1
201609;05209 - Concordia;1
201602;05212 - Copacabana;1
201604;05212 - Copacabana;2
201605;05212 - Copacabana;3
201607;05212 - Copacabana;2
201610;05212 - Copacabana;1
201612;05212 - Copacabana;1
201605;05237 - Don Matías;1
201606;05237 - Don Matías;1
201610;05237 - Don Matías;1
201603;05250 - El Bagre;1
201610;05250 - El Bagre;1
201601;05266 - Envigado;3
201602;05266 - Envigado;5
201603;05266 - Envigado;9
201604;05266 - Envigado;7
201605;05266 - Envigado;6
201606;05266 - Envigado;7
201607;05266 - Envigado;11
201608;05266 - Envigado;11
201609;05266 - Envigado;8
201610;05266 - Envigado;12
201611;05266 - Envigado;4
201612;05266 - Envigado;8
201606;05282 - Fredonia;2
201612;05282 - Fredonia;1
201601;05284 - Frontino;1
201608;05284 - Frontino;1
201612;05284 - Frontino;1
201603;05308 - Girardota;1
201610;05308 - Girardota;1
201601;05318 - Guarne;1
201603;05318 - Guarne;1
201604;05318 - Guarne;1
201607;05318 - Guarne;1
201608;05318 - Guarne;1
201611;05318 - Guarne;1
201601;05360 - Itagui;6
201602;05360 - Itagui;4
201603;05360 - Itagui;1
201604;05360 - Itagui;6
201605;05360 - Itagui;10
201606;05360 - Itagui;6
201607;05360 - Itagui;8
201608;05360 - Itagui;8
201609;05360 - Itagui;6
201610;05360 - Itagui;9
201611;05360 - Itagui;10
201612;05360 - Itagui;11
201604;05361 - Ituango;1
201612;05361 - Ituango;1
201605;05364 - Jardín;1
201601;05368 - Jericó;1
201603;05368 - Jericó;1
201604;05368 - Jericó;1
201601;05376 - La Ceja;2
201602;05376 - La Ceja;2
201606;05376 - La Ceja;2
201607;05376 - La Ceja;3
201608;05376 - La Ceja;5
201609;05376 - La Ceja;4
201610;05376 - La Ceja;3
201611;05376 - La Ceja;5
201612;05376 - La Ceja;4
201605;05390 - La Pintada;1
201602;05440 - Marinilla;2
201603;05440 - Marinilla;2
201604;05440 - Marinilla;1
