PeriodoNum;Municipio;CantidadPacientes
202201;05001 - Medellín;325
202202;05001 - Medellín;127
202203;05001 - Medellín;277
202204;05001 - Medellín;167
202205;05001 - Medellín;417
202206;05001 - Medellín;88
202202;05002 - Abejorral;2
202201;05031 - Amalfi;1
202202;05031 - Amalfi;1
202203;05034 - Andes;2
202205;05034 - Andes;3
202202;05038 - Angostura;1
202202;05040 - Anorí;1
202203;05040 - Anorí;1
202204;05040 - Anorí;1
202201;05042 - Santafé De Antioquia;3
202205;05042 - Santafé De Antioquia;5
202201;05045 - Apartadó;8
202202;05045 - Apartadó;4
202203;05045 - Apartadó;1
202204;05045 - Apartadó;5
202205;05045 - Apartadó;16
202206;05045 - Apartadó;5
202205;05055 - Argelia;1
202203;05079 - Barbosa;1
202205;05079 - Barbosa;2
202205;05086 - Belmira;1
202201;05088 - Bello;15
202202;05088 - Bello;11
202203;05088 - Bello;27
202204;05088 - Bello;16
202205;05088 - Bello;42
202206;05088 - Bello;4
202205;05091 - Betania;1
202201;05101 - Ciudad Bolívar;1
202202;05101 - Ciudad Bolívar;1
202205;05101 - Ciudad Bolívar;2
202202;05107 - Briceño;1
202202;05120 - Cáceres;1
202204;05120 - Cáceres;1
202205;05120 - Cáceres;1
202202;05129 - Caldas;2
202204;05129 - Caldas;1
202205;05129 - Caldas;3
202201;05147 - Carepa;1
202201;05148 - El Carmen De Viboral;2
202202;05148 - El Carmen De Viboral;1
202204;05148 - El Carmen De Viboral;3
202205;05148 - El Carmen De Viboral;3
202201;05154 - Caucasia;1
202203;05154 - Caucasia;1
202204;05154 - Caucasia;1
202202;05212 - Copacabana;1
202201;05234 - Dabeiba;1
202202;05234 - Dabeiba;1
202205;05234 - Dabeiba;1
202203;05237 - Don Matías;1
202204;05237 - Don Matías;1
202205;05240 - Ebéjico;1
202205;05264 - Entrerrios;1
202201;05266 - Envigado;6
202202;05266 - Envigado;9
202203;05266 - Envigado;9
202204;05266 - Envigado;5
202205;05266 - Envigado;12
202206;05266 - Envigado;1
202205;05282 - Fredonia;1
202205;05284 - Frontino;1
202205;05308 - Girardota;1
202201;05318 - Guarne;1
202203;05318 - Guarne;1
202204;05318 - Guarne;3
202201;05360 - Itagui;12
202202;05360 - Itagui;14
202203;05360 - Itagui;13
202204;05360 - Itagui;14
202205;05360 - Itagui;18
202206;05360 - Itagui;12
202205;05364 - Jardín;1
202201;05368 - Jericó;1
202204;05368 - Jericó;1
202201;05376 - La Ceja;2
202202;05376 - La Ceja;1
202205;05376 - La Ceja;1
202206;05376 - La Ceja;1
202204;05380 - La Estrella;1
202201;05440 - Marinilla;1
202205;05490 - Necoclí;1
202202;05495 - Nechí;1
202204;05495 - Nechí;1
202205;05579 - Puerto Berrío;1
202205;05607 - Retiro;1
202201;05615 - Rionegro;22
202202;05615 - Rionegro;13
202203;05615 - Rionegro;11
202204;05615 - Rionegro;18
202205;05615 - Rionegro;23
202206;05615 - Rionegro;8
202204;05631 - Sabaneta;2
202205;05631 - Sabaneta;2
202205;05647 - San Andrés De Cuerquía;1
202205;05649 - San Carlos;1
202205;05652 - San Francisco;1
202204;05665 - San Pedro De Uraba;1
202205;05665 - San Pedro De Uraba;1
202201;05686 - Santa Rosa De Osos;1
202205;05697 - El Santuario;1
202206;05697 - El Santuario;1
202204;05756 - Sonson;1
202204;05789 - Támesis;1
202204;05847 - Urrao;1
202205;05847 - Urrao;1
202204;05854 - Valdivia;1
202201;05887 - Yarumal;2
202202;05887 - Yarumal;2
202203;05887 - Yarumal;1
202204;05887 - Yarumal;3
202205;05887 - Yarumal;3
202201;05890 - Yolombó;1
202201;08001 - Barranquilla;39
