PeriodoNum;Municipio;CantidadPacientes
201201;05001 - Medellín;184
201202;05001 - Medellín;183
201203;05001 - Medellín;175
201204;05001 - Medellín;166
201205;05001 - Medellín;181
201206;05001 - Medellín;165
201207;05001 - Medellín;174
201208;05001 - Medellín;208
201209;05001 - Medellín;185
201210;05001 - Medellín;240
201211;05001 - Medellín;164
201212;05001 - Medellín;129
201208;05004 - Abriaquí;2
201209;05030 - Amagá;1
201203;05031 - Amalfi;1
201210;05031 - Amalfi;1
201202;05034 - Andes;1
201203;05042 - Santafé De Antioquia;1
201205;05042 - Santafé De Antioquia;1
201201;05045 - Apartadó;4
201202;05045 - Apartadó;10
201203;05045 - Apartadó;6
201204;05045 - Apartadó;3
201205;05045 - Apartadó;7
201206;05045 - Apartadó;4
201207;05045 - Apartadó;2
201208;05045 - Apartadó;2
201209;05045 - Apartadó;2
201210;05045 - Apartadó;7
201211;05045 - Apartadó;3
201212;05045 - Apartadó;4
201204;05051 - Arboletes;1
201202;05079 - Barbosa;2
201201;05088 - Bello;12
201202;05088 - Bello;12
201203;05088 - Bello;13
201204;05088 - Bello;13
201205;05088 - Bello;7
201206;05088 - Bello;9
201207;05088 - Bello;9
201208;05088 - Bello;13
201209;05088 - Bello;37
201210;05088 - Bello;44
201211;05088 - Bello;9
201212;05088 - Bello;7
201202;05101 - Ciudad Bolívar;2
201203;05101 - Ciudad Bolívar;1
201203;05107 - Briceño;1
201203;05129 - Caldas;3
201205;05129 - Caldas;2
201207;05129 - Caldas;1
201208;05129 - Caldas;2
201209;05129 - Caldas;1
201210;05129 - Caldas;2
201211;05129 - Caldas;1
201201;05134 - Campamento;1
201204;05147 - Carepa;1
201205;05147 - Carepa;1
201208;05147 - Carepa;1
201203;05154 - Caucasia;1
201208;05154 - Caucasia;1
201204;05172 - Chigorodó;2
201210;05172 - Chigorodó;1
201212;05172 - Chigorodó;1
201202;05212 - Copacabana;1
201203;05212 - Copacabana;1
201204;05212 - Copacabana;1
201209;05212 - Copacabana;1
201210;05212 - Copacabana;2
201211;05212 - Copacabana;1
201212;05212 - Copacabana;1
201203;05237 - Don Matías;1
201204;05237 - Don Matías;1
201203;05250 - El Bagre;1
201201;05266 - Envigado;20
201202;05266 - Envigado;12
201203;05266 - Envigado;12
201204;05266 - Envigado;20
201205;05266 - Envigado;15
201206;05266 - Envigado;10
201207;05266 - Envigado;4
201208;05266 - Envigado;7
201209;05266 - Envigado;6
201210;05266 - Envigado;5
201211;05266 - Envigado;4
201212;05266 - Envigado;6
201204;05282 - Fredonia;2
201209;05284 - Frontino;1
201212;05308 - Girardota;1
201202;05313 - Granada;1
201202;05318 - Guarne;1
201205;05318 - Guarne;1
201201;05360 - Itagui;4
201202;05360 - Itagui;5
201203;05360 - Itagui;6
201204;05360 - Itagui;6
201205;05360 - Itagui;2
201206;05360 - Itagui;3
201207;05360 - Itagui;1
201208;05360 - Itagui;3
201209;05360 - Itagui;7
201210;05360 - Itagui;3
201211;05360 - Itagui;1
201212;05360 - Itagui;2
201202;05368 - Jericó;1
201203;05368 - Jericó;1
201205;05368 - Jericó;1
201201;05376 - La Ceja;4
201202;05376 - La Ceja;2
201203;05376 - La Ceja;4
201204;05376 - La Ceja;3
201205;05376 - La Ceja;5
201206;05376 - La Ceja;1
201207;05376 - La Ceja;3
201208;05376 - La Ceja;2
201209;05376 - La Ceja;4
201210;05376 - La Ceja;1
201211;05376 - La Ceja;1
201202;05400 - La Unión;1
201209;05440 - Marinilla;1
201212;05440 - Marinilla;1
201201;05579 - Puerto Berrío;1
201202;05579 - Puerto Berrío;2
201203;05579 - Puerto Berrío;1
201204;05579 - Puerto Berrío;2
201206;05585 - Puerto Nare;1
201211;05585 - Puerto Nare;1
201201;05604 - Remedios;2
201201;05615 - Rionegro;15
201202;05615 - Rionegro;10
201203;05615 - Rionegro;17
201204;05615 - Rionegro;17
201205;05615 - Rionegro;19
201206;05615 - Rionegro;11
201207;05615 - Rionegro;11
201208;05615 - Rionegro;8
201209;05615 - Rionegro;15
