PeriodoNum;Municipio;CantidadPacientes
201101;05001 - Medellín;160
201102;05001 - Medellín;166
201103;05001 - Medellín;164
201104;05001 - Medellín;143
201105;05001 - Medellín;189
201106;05001 - Medellín;179
201107;05001 - Medellín;138
201108;05001 - Medellín;128
201109;05001 - Medellín;154
201110;05001 - Medellín;110
201111;05001 - Medellín;120
201112;05001 - Medellín;151
201102;05030 - Amagá;1
201101;05031 - Amalfi;1
201101;05034 - Andes;1
201111;05034 - Andes;1
201109;05038 - Angostura;1
201108;05044 - Anza;1
201101;05045 - Apartadó;4
201102;05045 - Apartadó;6
201103;05045 - Apartadó;7
201104;05045 - Apartadó;4
201106;05045 - Apartadó;3
201107;05045 - Apartadó;1
201108;05045 - Apartadó;4
201109;05045 - Apartadó;5
201110;05045 - Apartadó;2
201111;05045 - Apartadó;3
201112;05045 - Apartadó;4
201105;05059 - Armenia;1
201101;05088 - Bello;7
201102;05088 - Bello;2
201103;05088 - Bello;4
201104;05088 - Bello;3
201105;05088 - Bello;7
201106;05088 - Bello;8
201107;05088 - Bello;11
201108;05088 - Bello;14
201109;05088 - Bello;14
201110;05088 - Bello;7
201111;05088 - Bello;7
201112;05088 - Bello;14
201107;05093 - Betulia;1
201109;05093 - Betulia;1
201105;05101 - Ciudad Bolívar;1
201108;05101 - Ciudad Bolívar;1
201101;05129 - Caldas;1
201102;05129 - Caldas;1
201104;05129 - Caldas;1
201105;05129 - Caldas;2
201106;05129 - Caldas;2
201108;05129 - Caldas;2
201109;05129 - Caldas;2
201106;05142 - Caracolí;1
201106;05147 - Carepa;1
201108;05147 - Carepa;2
201109;05147 - Carepa;1
201111;05147 - Carepa;1
201112;05147 - Carepa;1
201102;05148 - El Carmen De Viboral;1
201101;05154 - Caucasia;1
201103;05154 - Caucasia;1
201110;05154 - Caucasia;1
201108;05172 - Chigorodó;1
201110;05197 - Cocorná;1
201107;05209 - Concordia;1
201101;05212 - Copacabana;2
201105;05212 - Copacabana;1
201103;05250 - El Bagre;1
201104;05264 - Entrerrios;1
201101;05266 - Envigado;7
201102;05266 - Envigado;7
201103;05266 - Envigado;7
201104;05266 - Envigado;17
201105;05266 - Envigado;19
201106;05266 - Envigado;20
201107;05266 - Envigado;7
201108;05266 - Envigado;11
201109;05266 - Envigado;11
201110;05266 - Envigado;8
201111;05266 - Envigado;5
201112;05266 - Envigado;12
201102;05284 - Frontino;1
201101;05360 - Itagui;10
201102;05360 - Itagui;7
201104;05360 - Itagui;5
201105;05360 - Itagui;2
201106;05360 - Itagui;1
201107;05360 - Itagui;2
201108;05360 - Itagui;3
201109;05360 - Itagui;7
201111;05360 - Itagui;1
201112;05360 - Itagui;5
201111;05361 - Ituango;1
201101;05376 - La Ceja;2
201102;05376 - La Ceja;3
201105;05376 - La Ceja;1
201106;05376 - La Ceja;2
201107;05376 - La Ceja;3
201108;05376 - La Ceja;2
201109;05376 - La Ceja;3
201110;05376 - La Ceja;4
201111;05376 - La Ceja;2
201112;05376 - La Ceja;5
201108;05380 - La Estrella;1
201101;05400 - La Unión;1
201105;05400 - La Unión;1
201106;05440 - Marinilla;1
201112;05483 - Nariño;2
201101;05576 - Pueblorrico;1
201102;05579 - Puerto Berrío;1
201107;05579 - Puerto Berrío;1
201108;05579 - Puerto Berrío;1
201109;05579 - Puerto Berrío;1
201110;05579 - Puerto Berrío;1
201111;05604 - Remedios;1
201101;05615 - Rionegro;3
201102;05615 - Rionegro;9
201103;05615 - Rionegro;5
201104;05615 - Rionegro;4
201105;05615 - Rionegro;3
201106;05615 - Rionegro;7
201107;05615 - Rionegro;5
201108;05615 - Rionegro;6
201109;05615 - Rionegro;9
201110;05615 - Rionegro;5
201111;05615 - Rionegro;11
201112;05615 - Rionegro;10
201107;05631 - Sabaneta;1
201111;05631 - Sabaneta;1
201109;05652 - San Francisco;1
201106;05656 - San Jerónimo;1
201101;05664 - San Pedro;1
201102;05664 - San Pedro;1
201111;05664 - San Pedro;1
201103;05674 - San Vicente;1
201111;05679 - Santa Bárbara;1
201112;05679 - Santa Bárbara;1
201104;05697 - El Santuario;1
201105;05697 - El Santuario;1
201103;05736 - Segovia;1
201112;05736 - Segovia;1
201101;05756 - Sonson;1
201102;05756 - Sonson;1
201103;05756 - Sonson;1
201104;05756 - Sonson;1
201106;05756 - Sonson;1
201109;05756 - Sonson;1
201110;05756 - Sonson;1
201112;05756 - Sonson;1
201101;05837 - Turbo;2
201102;05837 - Turbo;1
201103;05837 - Turbo;1
201105;05837 - Turbo;1
201106;05837 - Turbo;2
201108;05837 - Turbo;1
201111;05837 - Turbo;1
201104;05847 - Urrao;1
201103;05858 - Vegachí;1
201101;05887 - Yarumal;1
201102;05887 - Yarumal;2
201103;05887 - Yarumal;1
201105;05887 - Yarumal;1
201106;05887 - Yarumal;1
201108;05887 - Yarumal;2
201110;05887 - Yarumal;1
201111;05887 - Yarumal;1
201101;08001 - Barranquilla;44
201102;08001 - Barranquilla;44
201103;08001 - Barranquilla;65
201104;08001 - Barranquilla;38
201105;08001 - Barranquilla;55
201106;08001 - Barranquilla;54
201107;08001 - Barranquilla;39
201108;08001 - Barranquilla;37
201109;08001 - Barranquilla;33
201110;08001 - Barranquilla;11
201111;08001 - Barranquilla;26
201112;08001 - Barranquilla;26
201101;08433 - Malambo;1
201103;08433 - Malambo;2
201105;08433 - Malambo;1
201107;08433 - Malambo;1
201108;08433 - Malambo;1
201110;08433 - Malambo;1
201106;08436 - Manatí;1
201112;08558 - Polonuevo;1
201112;08573 - Puerto Colombia;1
201108;08634 - Sabanagrande;1
201102;08638 - Sabanalarga;2
201105;08638 - Sabanalarga;2
201106;08638 - Sabanalarga;1
201107;08638 - Sabanalarga;1
201110;08638 - Sabanalarga;1
201112;08638 - Sabanalarga;2
201101;08758 - Soledad;2
201102;08758 - Soledad;1
201103;08758 - Soledad;1
201104;08758 - Soledad;4
201105;08758 - Soledad;2
201106;08758 - Soledad;1
201101;11001 - Bogotá, D.C.;398
201102;11001 - Bogotá, D.C.;417
201103;11001 - Bogotá, D.C.;431
201104;11001 - Bogotá, D.C.;297
201105;11001 - Bogotá, D.C.;430
201106;11001 - Bogotá, D.C.;400
201107;11001 - Bogotá, D.C.;403
201108;11001 - Bogotá, D.C.;397
201109;11001 - Bogotá, D.C.;380
201110;11001 - Bogotá, D.C.;311
201111;11001 - Bogotá, D.C.;351
201112;11001 - Bogotá, D.C.;333
201101;13001 - Cartagena;21
201102;13001 - Cartagena;48
201103;13001 - Cartagena;26
201104;13001 - Cartagena;30
201105;13001 - Cartagena;39
201106;13001 - Cartagena;27
201107;13001 - Cartagena;30
201108;13001 - Cartagena;29
201109;13001 - Cartagena;33
201110;13001 - Cartagena;29
201111;13001 - Cartagena;35
201112;13001 - Cartagena;39
201110;13052 - Arjona;1
201101;13244 - El Carmen De Bolívar;1
201110;13244 - El Carmen De Bolívar;1
201102;13430 - Magangué;1
201104;13430 - Magangué;1
201105;13430 - Magangué;1
201108;13430 - Magangué;2
201110;13430 - Magangué;1
201109;13433 - Mahates;1
201103;13549 - Pinillos;1
201106;13549 - Pinillos;1
201106;13836 - Turbaco;1
201103;13873 - Villanueva;1
201105;13894 - Zambrano;1
201101;15001 - Tunja;54
201102;15001 - Tunja;63
201103;15001 - Tunja;68
201104;15001 - Tunja;42
201105;15001 - Tunja;57
201106;15001 - Tunja;57
201107;15001 - Tunja;52
201108;15001 - Tunja;42
201109;15001 - Tunja;51
201110;15001 - Tunja;22
201111;15001 - Tunja;32
201112;15001 - Tunja;54
201101;15176 - Chiquinquirá;3
201103;15176 - Chiquinquirá;1
201105;15176 - Chiquinquirá;1
201106;15176 - Chiquinquirá;3
201107;15176 - Chiquinquirá;2
201108;15176 - Chiquinquirá;2
201109;15176 - Chiquinquirá;1
201101;15238 - Duitama;13
201102;15238 - Duitama;7
201103;15238 - Duitama;8
201104;15238 - Duitama;7
201105;15238 - Duitama;9
201106;15238 - Duitama;3
201107;15238 - Duitama;7
201108;15238 - Duitama;8
201109;15238 - Duitama;6
201110;15238 - Duitama;5
201111;15238 - Duitama;5
201112;15238 - Duitama;1
201105;15244 - El Cocuy;1
201107;15244 - El Cocuy;1
201105;15299 - Garagoa;1
