PeriodoNum;Municipio;CantidadPacientes
202001;05001 - Medellín;468
202002;05001 - Medellín;458
202003;05001 - Medellín;269
202004;05001 - Medellín;213
202005;05001 - Medellín;272
202006;05001 - Medellín;287
202007;05001 - Medellín;237
202008;05001 - Medellín;275
202009;05001 - Medellín;404
202010;05001 - Medellín;343
202011;05001 - Medellín;327
202012;05001 - Medellín;257
202006;05002 - Abejorral;1
202008;05002 - Abejorral;1
202010;05002 - Abejorral;1
202012;05002 - Abejorral;2
202001;05030 - Amagá;7
202002;05030 - Amagá;5
202003;05030 - Amagá;1
202004;05030 - Amagá;1
202005;05030 - Amagá;2
202006;05030 - Amagá;1
202007;05030 - Amagá;1
202008;05030 - Amagá;1
202009;05030 - Amagá;4
202010;05030 - Amagá;1
202003;05031 - Amalfi;1
202004;05031 - Amalfi;1
202008;05031 - Amalfi;4
202009;05031 - Amalfi;1
202002;05034 - Andes;1
202005;05034 - Andes;1
202006;05034 - Andes;2
202007;05034 - Andes;1
202008;05034 - Andes;1
202009;05034 - Andes;1
202002;05036 - Angelópolis;1
202002;05038 - Angostura;1
202010;05038 - Angostura;1
202012;05040 - Anorí;1
202001;05042 - Santafé De Antioquia;1
202002;05042 - Santafé De Antioquia;4
202003;05042 - Santafé De Antioquia;1
202005;05042 - Santafé De Antioquia;1
202007;05042 - Santafé De Antioquia;2
202008;05042 - Santafé De Antioquia;1
202009;05042 - Santafé De Antioquia;2
202012;05042 - Santafé De Antioquia;1
202001;05045 - Apartadó;20
202002;05045 - Apartadó;16
202003;05045 - Apartadó;9
202004;05045 - Apartadó;4
202005;05045 - Apartadó;4
202006;05045 - Apartadó;7
202007;05045 - Apartadó;6
202008;05045 - Apartadó;8
202009;05045 - Apartadó;12
202010;05045 - Apartadó;12
202011;05045 - Apartadó;19
202012;05045 - Apartadó;10
202004;05055 - Argelia;1
202009;05059 - Armenia;1
202001;05079 - Barbosa;1
202002;05079 - Barbosa;1
202005;05079 - Barbosa;1
202007;05079 - Barbosa;1
202010;05079 - Barbosa;2
202001;05088 - Bello;102
202002;05088 - Bello;84
202003;05088 - Bello;78
202004;05088 - Bello;65
202005;05088 - Bello;63
202006;05088 - Bello;54
202007;05088 - Bello;54
202008;05088 - Bello;52
202009;05088 - Bello;67
202010;05088 - Bello;48
202011;05088 - Bello;43
202012;05088 - Bello;48
202002;05091 - Betania;1
202003;05091 - Betania;1
202007;05091 - Betania;1
202008;05091 - Betania;1
202002;05101 - Ciudad Bolívar;4
202003;05101 - Ciudad Bolívar;1
202007;05101 - Ciudad Bolívar;1
202009;05101 - Ciudad Bolívar;3
202010;05101 - Ciudad Bolívar;2
202011;05101 - Ciudad Bolívar;2
202001;05107 - Briceño;1
202002;05107 - Briceño;1
202003;05107 - Briceño;1
202009;05107 - Briceño;1
202008;05113 - Buriticá;1
202010;05120 - Cáceres;1
202011;05120 - Cáceres;1
202001;05129 - Caldas;14
202002;05129 - Caldas;11
202003;05129 - Caldas;3
202004;05129 - Caldas;5
202005;05129 - Caldas;1
202006;05129 - Caldas;6
202007;05129 - Caldas;3
202008;05129 - Caldas;2
202009;05129 - Caldas;3
202010;05129 - Caldas;8
202011;05129 - Caldas;5
202012;05129 - Caldas;5
202007;05145 - Caramanta;1
202009;05145 - Caramanta;1
202001;05147 - Carepa;3
202003;05147 - Carepa;1
202004;05147 - Carepa;1
202009;05147 - Carepa;1
202010;05147 - Carepa;1
202011;05147 - Carepa;1
202001;05148 - El Carmen De Viboral;2
202002;05148 - El Carmen De Viboral;5
202003;05148 - El Carmen De Viboral;3
202004;05148 - El Carmen De Viboral;1
202005;05148 - El Carmen De Viboral;1
202006;05148 - El Carmen De Viboral;5
202008;05148 - El Carmen De Viboral;1
202009;05148 - El Carmen De Viboral;4
202010;05148 - El Carmen De Viboral;5
202011;05148 - El Carmen De Viboral;5
202002;05150 - Carolina;1
202004;05150 - Carolina;1
202001;05154 - Caucasia;1
202002;05154 - Caucasia;3
202004;05154 - Caucasia;1
202008;05154 - Caucasia;1
202010;05154 - Caucasia;2
202012;05154 - Caucasia;1
202001;05172 - Chigorodó;1
202002;05172 - Chigorodó;1
202007;05172 - Chigorodó;1
202012;05172 - Chigorodó;1
202008;05197 - Cocorná;1
202009;05206 - Concepción;1
202007;05209 - Concordia;1
202008;05209 - Concordia;1
202001;05212 - Copacabana;4
202002;05212 - Copacabana;4
202003;05212 - Copacabana;1
202004;05212 - Copacabana;2
202005;05212 - Copacabana;1
202006;05212 - Copacabana;1
202009;05212 - Copacabana;3
202010;05212 - Copacabana;1
202011;05212 - Copacabana;2
202012;05212 - Copacabana;1
202003;05234 - Dabeiba;1
202006;05234 - Dabeiba;1
202010;05234 - Dabeiba;1
202002;05237 - Don Matías;2
202008;05237 - Don Matías;1
202012;05237 - Don Matías;1
202003;05240 - Ebéjico;1
202005;05250 - El Bagre;3
202006;05250 - El Bagre;1
202008;05250 - El Bagre;1
202011;05250 - El Bagre;1
202001;05266 - Envigado;17
202002;05266 - Envigado;13
202003;05266 - Envigado;14
202004;05266 - Envigado;17
202005;05266 - Envigado;18
202006;05266 - Envigado;15
202007;05266 - Envigado;17
202008;05266 - Envigado;8
202009;05266 - Envigado;23
202010;05266 - Envigado;16
202011;05266 - Envigado;9
202012;05266 - Envigado;14
202002;05282 - Fredonia;1
202007;05282 - Fredonia;1
202001;05284 - Frontino;1
202002;05284 - Frontino;1
202005;05284 - Frontino;1
202010;05284 - Frontino;1
202001;05308 - Girardota;3
202002;05308 - Girardota;2
202004;05308 - Girardota;1
202005;05308 - Girardota;2
202007;05308 - Girardota;2
202008;05308 - Girardota;1
202009;05308 - Girardota;4
202011;05308 - Girardota;1
202012;05308 - Girardota;1
202001;05310 - Gómez Plata;1
202009;05310 - Gómez Plata;1
202001;05318 - Guarne;1
202002;05318 - Guarne;1
202003;05318 - Guarne;2
202004;05318 - Guarne;1
202006;05318 - Guarne;1
202007;05318 - Guarne;1
202012;05318 - Guarne;1
202012;05321 - Guatape;1
202002;05353 - Hispania;1
202010;05353 - Hispania;1
202001;05360 - Itagui;28
202002;05360 - Itagui;20
202003;05360 - Itagui;12
202004;05360 - Itagui;7
202005;05360 - Itagui;11
202006;05360 - Itagui;10
202007;05360 - Itagui;8
202008;05360 - Itagui;21
202009;05360 - Itagui;25
202010;05360 - Itagui;14
202011;05360 - Itagui;19
202012;05360 - Itagui;17
202008;05361 - Ituango;1
202011;05361 - Ituango;1
202012;05361 - Ituango;1
202003;05364 - Jardín;1
202011;05364 - Jardín;1
202003;05368 - Jericó;2
202005;05368 - Jericó;1
202006;05368 - Jericó;1
202010;05368 - Jericó;1
202001;05376 - La Ceja;7
202002;05376 - La Ceja;7
202003;05376 - La Ceja;3
202004;05376 - La Ceja;4
202005;05376 - La Ceja;5
202006;05376 - La Ceja;3
202007;05376 - La Ceja;2
202008;05376 - La Ceja;3
202009;05376 - La Ceja;2
202010;05376 - La Ceja;5
202011;05376 - La Ceja;2
202012;05376 - La Ceja;4
202001;05380 - La Estrella;1
202002;05380 - La Estrella;1
202004;05380 - La Estrella;3
202005;05380 - La Estrella;1
202006;05380 - La Estrella;2
202009;05380 - La Estrella;2
202010;05380 - La Estrella;1
202002;05390 - La Pintada;1
202009;05400 - La Unión;1
202002;05411 - Liborina;1
202005;05411 - Liborina;1
202008;05411 - Liborina;1
202002;05440 - Marinilla;1
202003;05440 - Marinilla;1
202004;05440 - Marinilla;1
202005;05440 - Marinilla;1
202007;05440 - Marinilla;1
202010;05440 - Marinilla;1
202011;05440 - Marinilla;2
202007;05467 - Montebello;1
202011;05467 - Montebello;1
202012;05467 - Montebello;1
202002;05490 - Necoclí;1
