PeriodoNum;Municipio;CantidadPacientes
201901;05001 - Medellín;318
201902;05001 - Medellín;295
201903;05001 - Medellín;300
201904;05001 - Medellín;334
201905;05001 - Medellín;342
201906;05001 - Medellín;299
201907;05001 - Medellín;460
201908;05001 - Medellín;468
201909;05001 - Medellín;500
201910;05001 - Medellín;463
201911;05001 - Medellín;472
201912;05001 - Medellín;426
201901;05002 - Abejorral;2
201902;05002 - Abejorral;1
201904;05002 - Abejorral;1
201907;05002 - Abejorral;1
201908;05002 - Abejorral;1
201911;05002 - Abejorral;2
201903;05030 - Amagá;2
201905;05030 - Amagá;2
201909;05030 - Amagá;1
201910;05030 - Amagá;2
201911;05030 - Amagá;5
201912;05030 - Amagá;2
201908;05031 - Amalfi;1
201909;05031 - Amalfi;1
201912;05031 - Amalfi;1
201903;05034 - Andes;2
201904;05034 - Andes;1
201906;05034 - Andes;3
201907;05034 - Andes;1
201908;05034 - Andes;3
201909;05034 - Andes;2
201910;05034 - Andes;2
201911;05034 - Andes;1
201901;05038 - Angostura;2
201903;05038 - Angostura;1
201904;05038 - Angostura;2
201905;05038 - Angostura;1
201908;05038 - Angostura;1
201910;05038 - Angostura;1
201901;05042 - Santafé De Antioquia;1
201904;05042 - Santafé De Antioquia;4
201905;05042 - Santafé De Antioquia;6
201906;05042 - Santafé De Antioquia;1
201907;05042 - Santafé De Antioquia;4
201908;05042 - Santafé De Antioquia;4
201909;05042 - Santafé De Antioquia;2
201910;05042 - Santafé De Antioquia;1
201911;05042 - Santafé De Antioquia;6
201906;05044 - Anza;1
201901;05045 - Apartadó;15
201902;05045 - Apartadó;9
201903;05045 - Apartadó;12
201904;05045 - Apartadó;9
201905;05045 - Apartadó;10
201906;05045 - Apartadó;14
201907;05045 - Apartadó;17
201908;05045 - Apartadó;26
201909;05045 - Apartadó;26
201910;05045 - Apartadó;12
201911;05045 - Apartadó;23
201912;05045 - Apartadó;11
201909;05051 - Arboletes;1
201911;05051 - Arboletes;1
201903;05055 - Argelia;1
201904;05059 - Armenia;2
201906;05059 - Armenia;1
201910;05059 - Armenia;1
201901;05079 - Barbosa;1
201903;05079 - Barbosa;3
201904;05079 - Barbosa;1
201905;05079 - Barbosa;2
201906;05079 - Barbosa;1
201908;05079 - Barbosa;2
201909;05079 - Barbosa;1
201910;05079 - Barbosa;1
201911;05079 - Barbosa;1
201910;05086 - Belmira;1
201901;05088 - Bello;55
201902;05088 - Bello;65
201903;05088 - Bello;104
201904;05088 - Bello;198
201905;05088 - Bello;72
201906;05088 - Bello;88
201907;05088 - Bello;77
201908;05088 - Bello;129
201909;05088 - Bello;57
201910;05088 - Bello;81
201911;05088 - Bello;136
201912;05088 - Bello;77
201906;05091 - Betania;3
201907;05091 - Betania;1
201908;05091 - Betania;2
201909;05091 - Betania;1
201901;05093 - Betulia;1
201901;05101 - Ciudad Bolívar;1
201904;05101 - Ciudad Bolívar;2
201906;05101 - Ciudad Bolívar;1
201907;05101 - Ciudad Bolívar;1
201908;05101 - Ciudad Bolívar;2
201909;05101 - Ciudad Bolívar;1
201910;05101 - Ciudad Bolívar;1
201912;05101 - Ciudad Bolívar;1
201908;05107 - Briceño;1
201909;05107 - Briceño;2
201910;05107 - Briceño;1
201911;05107 - Briceño;3
201912;05107 - Briceño;3
201911;05120 - Cáceres;1
201911;05125 - Caicedo;2
201901;05129 - Caldas;4
201902;05129 - Caldas;5
201903;05129 - Caldas;5
201904;05129 - Caldas;8
201905;05129 - Caldas;4
201906;05129 - Caldas;6
201907;05129 - Caldas;7
201908;05129 - Caldas;4
201909;05129 - Caldas;6
201910;05129 - Caldas;6
201911;05129 - Caldas;4
201912;05129 - Caldas;5
201910;05134 - Campamento;1
201902;05138 - Cañasgordas;1
201903;05138 - Cañasgordas;2
201905;05138 - Cañasgordas;1
201906;05138 - Cañasgordas;1
201911;05138 - Cañasgordas;1
201909;05142 - Caracolí;1
201902;05145 - Caramanta;1
201910;05145 - Caramanta;1
201901;05147 - Carepa;2
201902;05147 - Carepa;3
201904;05147 - Carepa;2
201907;05147 - Carepa;3
201908;05147 - Carepa;2
201909;05147 - Carepa;1
201910;05147 - Carepa;1
201901;05148 - El Carmen De Viboral;1
201902;05148 - El Carmen De Viboral;1
201903;05148 - El Carmen De Viboral;4
201904;05148 - El Carmen De Viboral;4
201906;05148 - El Carmen De Viboral;1
201907;05148 - El Carmen De Viboral;2
201908;05148 - El Carmen De Viboral;1
201909;05148 - El Carmen De Viboral;3
201910;05148 - El Carmen De Viboral;10
201911;05148 - El Carmen De Viboral;2
201901;05150 - Carolina;1
201903;05150 - Carolina;1
201906;05150 - Carolina;1
201911;05150 - Carolina;1
201912;05150 - Carolina;1
201901;05154 - Caucasia;1
201903;05154 - Caucasia;2
201904;05154 - Caucasia;4
201905;05154 - Caucasia;3
201906;05154 - Caucasia;1
201907;05154 - Caucasia;2
201908;05154 - Caucasia;1
201909;05154 - Caucasia;1
201910;05154 - Caucasia;1
201911;05154 - Caucasia;1
201912;05154 - Caucasia;4
201903;05172 - Chigorodó;1
201907;05172 - Chigorodó;1
201908;05172 - Chigorodó;3
201909;05172 - Chigorodó;1
201910;05172 - Chigorodó;1
201906;05190 - Cisneros;1
201902;05197 - Cocorná;1
201903;05197 - Cocorná;2
201904;05197 - Cocorná;1
201905;05197 - Cocorná;2
201907;05209 - Concordia;1
201909;05209 - Concordia;1
201901;05212 - Copacabana;2
201902;05212 - Copacabana;2
201903;05212 - Copacabana;6
201904;05212 - Copacabana;6
201905;05212 - Copacabana;2
201906;05212 - Copacabana;4
201907;05212 - Copacabana;1
201909;05212 - Copacabana;2
201910;05212 - Copacabana;2
201911;05212 - Copacabana;4
201912;05212 - Copacabana;2
201902;05234 - Dabeiba;1
201907;05234 - Dabeiba;1
201910;05234 - Dabeiba;2
201911;05234 - Dabeiba;1
201902;05237 - Don Matías;1
201903;05237 - Don Matías;1
201904;05237 - Don Matías;1
201909;05237 - Don Matías;1
201910;05237 - Don Matías;1
201901;05250 - El Bagre;1
201902;05250 - El Bagre;1
201903;05250 - El Bagre;1
201904;05250 - El Bagre;1
201905;05250 - El Bagre;1
201911;05250 - El Bagre;1
201912;05250 - El Bagre;1
201901;05266 - Envigado;16
201902;05266 - Envigado;20
201903;05266 - Envigado;18
201904;05266 - Envigado;21
201905;05266 - Envigado;23
201906;05266 - Envigado;17
201907;05266 - Envigado;30
201908;05266 - Envigado;29
201909;05266 - Envigado;24
201910;05266 - Envigado;42
201911;05266 - Envigado;33
201912;05266 - Envigado;26
201901;05282 - Fredonia;1
201903;05282 - Fredonia;1
201901;05284 - Frontino;1
201905;05284 - Frontino;2
201906;05284 - Frontino;1
201902;05308 - Girardota;4
201903;05308 - Girardota;2
201905;05308 - Girardota;1
201906;05308 - Girardota;1
201907;05308 - Girardota;2
201908;05308 - Girardota;4
201909;05308 - Girardota;3
201910;05308 - Girardota;3
201911;05308 - Girardota;6
201904;05310 - Gómez Plata;1
201907;05310 - Gómez Plata;1
201901;05315 - Guadalupe;1
201902;05315 - Guadalupe;1
201901;05318 - Guarne;1
201902;05318 - Guarne;1
201905;05318 - Guarne;2
201906;05318 - Guarne;1
201910;05318 - Guarne;1
201911;05318 - Guarne;2
201903;05321 - Guatape;1
201904;05321 - Guatape;2
201902;05347 - Heliconia;1
201904;05353 - Hispania;1
201906;05353 - Hispania;1
201907;05353 - Hispania;1
201901;05360 - Itagui;24
201902;05360 - Itagui;15
201903;05360 - Itagui;19
201904;05360 - Itagui;21
201905;05360 - Itagui;13
201906;05360 - Itagui;22
201907;05360 - Itagui;14
201908;05360 - Itagui;18
201909;05360 - Itagui;23
201910;05360 - Itagui;22
201911;05360 - Itagui;22
201912;05360 - Itagui;9
201911;05361 - Ituango;2
201909;05364 - Jardín;1
201902;05368 - Jericó;1
201903;05368 - Jericó;1
201905;05368 - Jericó;1
201909;05368 - Jericó;1
201910;05368 - Jericó;1
201901;05376 - La Ceja;5
201902;05376 - La Ceja;4
201903;05376 - La Ceja;4
201904;05376 - La Ceja;6
201905;05376 - La Ceja;6
201906;05376 - La Ceja;4
201907;05376 - La Ceja;8
201908;05376 - La Ceja;8
201909;05376 - La Ceja;7
201910;05376 - La Ceja;10
201911;05376 - La Ceja;8
201912;05376 - La Ceja;6
201901;05380 - La Estrella;1
201903;05380 - La Estrella;1
201904;05380 - La Estrella;1
201905;05380 - La Estrella;1
201906;05380 - La Estrella;1
201907;05380 - La Estrella;2
201908;05380 - La Estrella;1
201910;05380 - La Estrella;1
201911;05380 - La Estrella;2
201912;05380 - La Estrella;2
201903;05400 - La Unión;1
201907;05400 - La Unión;1
201910;05411 - Liborina;1
201904;05425 - Maceo;1
201912;05425 - Maceo;1
201901;05440 - Marinilla;2
201902;05440 - Marinilla;1
201903;05440 - Marinilla;2
201904;05440 - Marinilla;3
201906;05440 - Marinilla;2
201907;05440 - Marinilla;2
201908;05440 - Marinilla;1
201909;05440 - Marinilla;1
201910;05440 - Marinilla;6
201911;05440 - Marinilla;1
201902;05490 - Necoclí;2
201905;05490 - Necoclí;1
201910;05490 - Necoclí;1
201907;05495 - Nechí;1
201902;05541 - Peñol;3
201910;05541 - Peñol;2
201901;05543 - Peque;1
201908;05543 - Peque;1
201903;05576 - Pueblorrico;1
201904;05576 - Pueblorrico;1
201906;05576 - Pueblorrico;2
201908;05576 - Pueblorrico;1
201908;05579 - Puerto Berrío;2
201911;05579 - Puerto Berrío;1
201909;05585 - Puerto Nare;2
201910;05585 - Puerto Nare;1
201903;05591 - Puerto Triunfo;1
201909;05591 - Puerto Triunfo;1
201911;05591 - Puerto Triunfo;1
201903;05604 - Remedios;1
201908;05604 - Remedios;1
201909;05604 - Remedios;1
201910;05604 - Remedios;2
201901;05607 - Retiro;1
201906;05607 - Retiro;1
201901;05615 - Rionegro;43
201902;05615 - Rionegro;37
201903;05615 - Rionegro;41
201904;05615 - Rionegro;38
201905;05615 - Rionegro;45
201906;05615 - Rionegro;36
201907;05615 - Rionegro;49
201908;05615 - Rionegro;48
201909;05615 - Rionegro;44
201910;05615 - Rionegro;42
201911;05615 - Rionegro;39
201912;05615 - Rionegro;30
201910;05628 - Sabanalarga;1
201901;05631 - Sabaneta;7
201902;05631 - Sabaneta;7
201903;05631 - Sabaneta;3
201904;05631 - Sabaneta;5
201905;05631 - Sabaneta;3
201906;05631 - Sabaneta;6
201907;05631 - Sabaneta;5
201908;05631 - Sabaneta;5
201909;05631 - Sabaneta;4
201910;05631 - Sabaneta;5
201911;05631 - Sabaneta;4
201912;05631 - Sabaneta;5
201905;05642 - Salgar;1
201912;05642 - Salgar;1
201901;05647 - San Andrés De Cuerquía;1
201903;05647 - San Andrés De Cuerquía;1
201904;05647 - San Andrés De Cuerquía;1
201905;05647 - San Andrés De Cuerquía;1
201906;05647 - San Andrés De Cuerquía;1
201902;05649 - San Carlos;1
201903;05649 - San Carlos;2
201904;05649 - San Carlos;1
201905;05649 - San Carlos;1
201906;05649 - San Carlos;2
201908;05649 - San Carlos;1
201910;05649 - San Carlos;1
201911;05649 - San Carlos;3
201901;05656 - San Jerónimo;1
201902;05656 - San Jerónimo;1
201903;05656 - San Jerónimo;1
201907;05656 - San Jerónimo;1
201911;05656 - San Jerónimo;1
201909;05659 - San Juan De Urabá;1
201906;05660 - San Luis;1
201909;05660 - San Luis;1
201910;05660 - San Luis;1
201901;05664 - San Pedro;2
201902;05664 - San Pedro;1
201903;05664 - San Pedro;3
201904;05664 - San Pedro;4
201905;05664 - San Pedro;1
201906;05664 - San Pedro;2
201907;05664 - San Pedro;6
201908;05664 - San Pedro;1
