PeriodoNum;Municipio;CantidadPacientes
201701;05001 - Medellín;147
201702;05001 - Medellín;156
201703;05001 - Medellín;179
201704;05001 - Medellín;171
201705;05001 - Medellín;188
201706;05001 - Medellín;209
201707;05001 - Medellín;175
201708;05001 - Medellín;231
201709;05001 - Medellín;235
201710;05001 - Medellín;244
201711;05001 - Medellín;259
201712;05001 - Medellín;229
201706;05002 - Abejorral;1
201708;05002 - Abejorral;1
201708;05004 - Abriaquí;1
201703;05030 - Amagá;1
201706;05030 - Amagá;1
201703;05031 - Amalfi;1
201705;05031 - Amalfi;2
201708;05031 - Amalfi;1
201710;05031 - Amalfi;1
201712;05031 - Amalfi;1
201701;05034 - Andes;2
201703;05034 - Andes;1
201704;05034 - Andes;1
201705;05034 - Andes;1
201708;05034 - Andes;3
201710;05034 - Andes;1
201711;05034 - Andes;1
201704;05038 - Angostura;2
201702;05042 - Santafé De Antioquia;1
201703;05042 - Santafé De Antioquia;2
201704;05042 - Santafé De Antioquia;1
201705;05042 - Santafé De Antioquia;1
201706;05042 - Santafé De Antioquia;1
201707;05042 - Santafé De Antioquia;1
201709;05042 - Santafé De Antioquia;3
201710;05042 - Santafé De Antioquia;1
201701;05045 - Apartadó;4
201702;05045 - Apartadó;10
201703;05045 - Apartadó;5
201704;05045 - Apartadó;8
201705;05045 - Apartadó;7
201706;05045 - Apartadó;6
201707;05045 - Apartadó;7
201708;05045 - Apartadó;7
201709;05045 - Apartadó;6
201710;05045 - Apartadó;10
201711;05045 - Apartadó;13
201712;05045 - Apartadó;6
201708;05051 - Arboletes;1
201703;05079 - Barbosa;1
201705;05079 - Barbosa;1
201706;05079 - Barbosa;1
201707;05079 - Barbosa;1
201708;05079 - Barbosa;3
201710;05079 - Barbosa;1
201711;05079 - Barbosa;3
201701;05086 - Belmira;1
201701;05088 - Bello;18
201702;05088 - Bello;33
201703;05088 - Bello;34
201704;05088 - Bello;31
201705;05088 - Bello;35
201706;05088 - Bello;29
201707;05088 - Bello;28
201708;05088 - Bello;50
201709;05088 - Bello;32
201710;05088 - Bello;49
201711;05088 - Bello;47
201712;05088 - Bello;33
201702;05091 - Betania;1
201701;05101 - Ciudad Bolívar;3
201703;05101 - Ciudad Bolívar;2
201711;05101 - Ciudad Bolívar;2
201702;05129 - Caldas;2
201703;05129 - Caldas;7
201704;05129 - Caldas;3
201705;05129 - Caldas;5
201706;05129 - Caldas;5
201707;05129 - Caldas;5
201708;05129 - Caldas;7
201709;05129 - Caldas;5
201710;05129 - Caldas;6
201711;05129 - Caldas;6
201712;05129 - Caldas;3
201701;05138 - Cañasgordas;1
201702;05138 - Cañasgordas;1
201703;05138 - Cañasgordas;1
201705;05138 - Cañasgordas;1
201706;05138 - Cañasgordas;1
201711;05138 - Cañasgordas;1
201712;05138 - Cañasgordas;1
201701;05145 - Caramanta;1
201704;05147 - Carepa;2
201705;05147 - Carepa;1
201706;05147 - Carepa;1
201708;05147 - Carepa;1
201709;05147 - Carepa;1
201710;05147 - Carepa;1
201711;05147 - Carepa;4
201712;05147 - Carepa;5
201701;05148 - El Carmen De Viboral;2
201702;05148 - El Carmen De Viboral;1
201704;05148 - El Carmen De Viboral;1
201703;05150 - Carolina;1
201703;05154 - Caucasia;1
201707;05154 - Caucasia;3
201708;05154 - Caucasia;2
201710;05154 - Caucasia;1
201711;05154 - Caucasia;2
201712;05154 - Caucasia;1
201706;05172 - Chigorodó;1
201711;05172 - Chigorodó;4
201710;05190 - Cisneros;1
201705;05197 - Cocorná;1
201709;05197 - Cocorná;2
201707;05206 - Concepción;1
201701;05209 - Concordia;2
201703;05209 - Concordia;1
201701;05212 - Copacabana;2
201702;05212 - Copacabana;3
201705;05212 - Copacabana;1
201706;05212 - Copacabana;1
201707;05212 - Copacabana;3
201708;05212 - Copacabana;2
201709;05212 - Copacabana;1
201710;05212 - Copacabana;3
201706;05237 - Don Matías;1
201709;05237 - Don Matías;1
201710;05237 - Don Matías;1
201711;05237 - Don Matías;1
201707;05240 - Ebéjico;1
201709;05240 - Ebéjico;1
201710;05240 - Ebéjico;1
201701;05250 - El Bagre;1
201704;05250 - El Bagre;1
201706;05264 - Entrerrios;1
201701;05266 - Envigado;6
201702;05266 - Envigado;5
201703;05266 - Envigado;8
201704;05266 - Envigado;10
201705;05266 - Envigado;7
201706;05266 - Envigado;11
201707;05266 - Envigado;8
201708;05266 - Envigado;8
201709;05266 - Envigado;17
201710;05266 - Envigado;13
201711;05266 - Envigado;10
201712;05266 - Envigado;8
201701;05282 - Fredonia;1
201703;05282 - Fredonia;2
201704;05282 - Fredonia;1
201701;05308 - Girardota;2
201702;05308 - Girardota;2
201703;05308 - Girardota;1
201704;05308 - Girardota;1
201705;05308 - Girardota;2
201706;05308 - Girardota;1
201707;05308 - Girardota;5
201709;05308 - Girardota;3
201710;05308 - Girardota;5
201711;05308 - Girardota;1
201701;05310 - Gómez Plata;1
201702;05310 - Gómez Plata;1
201703;05310 - Gómez Plata;1
201709;05310 - Gómez Plata;1
201710;05310 - Gómez Plata;1
201704;05313 - Granada;1
201706;05313 - Granada;1
201709;05313 - Granada;1
201710;05313 - Granada;1
201706;05318 - Guarne;1
201709;05318 - Guarne;1
201710;05318 - Guarne;2
201711;05318 - Guarne;1
201712;05321 - Guatape;1
201703;05347 - Heliconia;1
201701;05360 - Itagui;7
201702;05360 - Itagui;11
201703;05360 - Itagui;13
201704;05360 - Itagui;14
201705;05360 - Itagui;8
201706;05360 - Itagui;16
201707;05360 - Itagui;10
201708;05360 - Itagui;7
201709;05360 - Itagui;8
201710;05360 - Itagui;8
201711;05360 - Itagui;15
201712;05360 - Itagui;16
201701;05361 - Ituango;1
201704;05361 - Ituango;2
201707;05361 - Ituango;1
201709;05361 - Ituango;1
201710;05361 - Ituango;1
201711;05364 - Jardín;1
201712;05364 - Jardín;1
201701;05368 - Jericó;1
201702;05368 - Jericó;1
201703;05368 - Jericó;1
201701;05376 - La Ceja;6
201702;05376 - La Ceja;4
201703;05376 - La Ceja;6
201704;05376 - La Ceja;6
201705;05376 - La Ceja;3
201706;05376 - La Ceja;4
201707;05376 - La Ceja;3
201708;05376 - La Ceja;6
201709;05376 - La Ceja;3
201710;05376 - La Ceja;1
201711;05376 - La Ceja;4
201712;05376 - La Ceja;4
201710;05380 - La Estrella;2
201711;05380 - La Estrella;1
201703;05390 - La Pintada;1
201704;05400 - La Unión;1
201707;05400 - La Unión;1
201708;05400 - La Unión;1
201709;05400 - La Unión;1
201704;05411 - Liborina;2
201707;05411 - Liborina;1
201711;05411 - Liborina;1
201707;05425 - Maceo;1
201701;05440 - Marinilla;1
201702;05440 - Marinilla;1
201703;05440 - Marinilla;4
201706;05440 - Marinilla;2
201707;05440 - Marinilla;1
201708;05440 - Marinilla;1
201709;05440 - Marinilla;1
201710;05440 - Marinilla;1
201711;05440 - Marinilla;1
201712;05440 - Marinilla;1
201708;05467 - Montebello;1
201708;05475 - Murindó;1
201707;05480 - Mutatá;1
201709;05480 - Mutatá;1
201711;05480 - Mutatá;1
201707;05483 - Nariño;1
201710;05483 - Nariño;2
201708;05490 - Necoclí;2
201711;05490 - Necoclí;1
201703;05541 - Peñol;1
201704;05541 - Peñol;1
201708;05541 - Peñol;1
201702;05576 - Pueblorrico;1
201705;05576 - Pueblorrico;2
201706;05576 - Pueblorrico;1
201707;05576 - Pueblorrico;1
201711;05576 - Pueblorrico;1
201701;05579 - Puerto Berrío;2
201702;05579 - Puerto Berrío;2
201703;05579 - Puerto Berrío;2
201706;05579 - Puerto Berrío;1
201708;05579 - Puerto Berrío;1
201711;05579 - Puerto Berrío;2
201712;05579 - Puerto Berrío;1
201703;05585 - Puerto Nare;1
201704;05585 - Puerto Nare;2
201708;05607 - Retiro;1
201709;05607 - Retiro;1
201701;05615 - Rionegro;24
201702;05615 - Rionegro;23
201703;05615 - Rionegro;29
201704;05615 - Rionegro;18
201705;05615 - Rionegro;35
201706;05615 - Rionegro;32
201707;05615 - Rionegro;27
201708;05615 - Rionegro;30
201709;05615 - Rionegro;35
201710;05615 - Rionegro;34
201711;05615 - Rionegro;28
201712;05615 - Rionegro;35
201701;05631 - Sabaneta;1
201702;05631 - Sabaneta;1
201703;05631 - Sabaneta;2
201704;05631 - Sabaneta;1
201705;05631 - Sabaneta;2
201706;05631 - Sabaneta;3
201707;05631 - Sabaneta;1
201708;05631 - Sabaneta;1
201709;05631 - Sabaneta;2
201710;05631 - Sabaneta;4
201712;05631 - Sabaneta;1
201701;05642 - Salgar;1
201705;05642 - Salgar;1
201711;05642 - Salgar;1
201706;05647 - San Andrés De Cuerquía;1
201701;05649 - San Carlos;1
201710;05652 - San Francisco;1
201711;05652 - San Francisco;2
201703;05656 - San Jerónimo;1
201704;05656 - San Jerónimo;1
201711;05656 - San Jerónimo;1
201705;05659 - San Juan De Urabá;1
201711;05660 - San Luis;1
201702;05664 - San Pedro;1
201704;05664 - San Pedro;1
201705;05664 - San Pedro;2
201708;05664 - San Pedro;1
201710;05664 - San Pedro;1
201701;05665 - San Pedro De Uraba;2
201704;05665 - San Pedro De Uraba;1
201707;05665 - San Pedro De Uraba;2
201706;05667 - San Rafael;1
201707;05667 - San Rafael;1
201701;05670 - San Roque;1
201701;05674 - San Vicente;1
201703;05674 - San Vicente;1
201707;05674 - San Vicente;1
201708;05674 - San Vicente;1
201710;05674 - San Vicente;1
201712;05674 - San Vicente;1
201703;05679 - Santa Bárbara;1
201706;05679 - Santa Bárbara;1
201707;05679 - Santa Bárbara;1
201709;05679 - Santa Bárbara;1
201710;05679 - Santa Bárbara;2
201711;05679 - Santa Bárbara;1
201705;05686 - Santa Rosa De Osos;1
201710;05686 - Santa Rosa De Osos;1
201711;05686 - Santa Rosa De Osos;2
201702;05697 - El Santuario;1
201703;05697 - El Santuario;1
201705;05697 - El Santuario;2
201706;05697 - El Santuario;1
201707;05697 - El Santuario;1
201709;05697 - El Santuario;3
201710;05697 - El Santuario;2
201711;05697 - El Santuario;1
201701;05736 - Segovia;2
201711;05736 - Segovia;1
201701;05756 - Sonson;1
201702;05756 - Sonson;1
201703;05756 - Sonson;1
201704;05756 - Sonson;1
201707;05756 - Sonson;2
201708;05756 - Sonson;3
201709;05756 - Sonson;1
201710;05756 - Sonson;2
201711;05756 - Sonson;1
201701;05761 - Sopetrán;1
201706;05761 - Sopetrán;2
201704;05789 - Támesis;2
201708;05790 - Tarazá;1
201709;05790 - Tarazá;1
201704;05809 - Titiribí;1
201708;05809 - Titiribí;1
201710;05809 - Titiribí;1
201711;05809 - Titiribí;2
201712;05809 - Titiribí;1
201704;05819 - Toledo;1
201710;05819 - Toledo;1
201712;05819 - Toledo;1
201702;05837 - Turbo;1
201707;05837 - Turbo;1
201709;05837 - Turbo;2
201710;05837 - Turbo;2
