PeriodoNum;Departamento;CantidadPacientes
202101;05 - Antioquia;308
202102;05 - Antioquia;560
202103;05 - Antioquia;570
202104;05 - Antioquia;556
202105;05 - Antioquia;638
202106;05 - Antioquia;611
202107;05 - Antioquia;647
202108;05 - Antioquia;683
202109;05 - Antioquia;690
202110;05 - Antioquia;566
202111;05 - Antioquia;562
202112;05 - Antioquia;600
202101;08 - Atlántico;73
202102;08 - Atlántico;111
202103;08 - Atlántico;102
202104;08 - Atlántico;87
202105;08 - Atlántico;93
202106;08 - Atlántico;120
202107;08 - Atlántico;90
202108;08 - Atlántico;107
202109;08 - Atlántico;112
202110;08 - Atlántico;108
202111;08 - Atlántico;90
202112;08 - Atlántico;88
202101;11 - Bogotá, D.C.;409
202102;11 - Bogotá, D.C.;624
202103;11 - Bogotá, D.C.;674
202104;11 - Bogotá, D.C.;553
202105;11 - Bogotá, D.C.;607
202106;11 - Bogotá, D.C.;671
202107;11 - Bogotá, D.C.;655
202108;11 - Bogotá, D.C.;705
202109;11 - Bogotá, D.C.;688
202110;11 - Bogotá, D.C.;589
202111;11 - Bogotá, D.C.;626
202112;11 - Bogotá, D.C.;613
202101;13 - Bolívar;48
202102;13 - Bolívar;74
202103;13 - Bolívar;73
202104;13 - Bolívar;77
202105;13 - Bolívar;94
202106;13 - Bolívar;79
202107;13 - Bolívar;66
202108;13 - Bolívar;82
202109;13 - Bolívar;84
202110;13 - Bolívar;55
202111;13 - Bolívar;53
202112;13 - Bolívar;36
202101;15 - Boyacá;70
202102;15 - Boyacá;83
202103;15 - Boyacá;121
202104;15 - Boyacá;106
202105;15 - Boyacá;99
202106;15 - Boyacá;116
202107;15 - Boyacá;109
202108;15 - Boyacá;104
202109;15 - Boyacá;108
202110;15 - Boyacá;71
202111;15 - Boyacá;90
202112;15 - Boyacá;103
202101;17 - Caldas;16
202102;17 - Caldas;29
202103;17 - Caldas;34
202104;17 - Caldas;34
202105;17 - Caldas;38
202106;17 - Caldas;46
202107;17 - Caldas;41
202108;17 - Caldas;52
202109;17 - Caldas;54
202110;17 - Caldas;40
202111;17 - Caldas;40
202112;17 - Caldas;49
202101;18 - Caquetá;13
202102;18 - Caquetá;16
202103;18 - Caquetá;14
202104;18 - Caquetá;19
202105;18 - Caquetá;14
202106;18 - Caquetá;15
202107;18 - Caquetá;14
202108;18 - Caquetá;22
202109;18 - Caquetá;28
202110;18 - Caquetá;17
202111;18 - Caquetá;19
202112;18 - Caquetá;20
202101;19 - Cauca;24
202102;19 - Cauca;43
202103;19 - Cauca;67
202104;19 - Cauca;58
202105;19 - Cauca;56
202106;19 - Cauca;52
202107;19 - Cauca;64
202108;19 - Cauca;64
202109;19 - Cauca;48
202110;19 - Cauca;43
202111;19 - Cauca;57
202112;19 - Cauca;55
202101;20 - Cesar;23
202102;20 - Cesar;32
202103;20 - Cesar;33
202104;20 - Cesar;31
202105;20 - Cesar;30
202106;20 - Cesar;29
202107;20 - Cesar;20
202108;20 - Cesar;25
202109;20 - Cesar;32
202110;20 - Cesar;24
202111;20 - Cesar;22
202112;20 - Cesar;26
202101;23 - Córdoba;63
202102;23 - Córdoba;60
202103;23 - Córdoba;68
202104;23 - Córdoba;83
202105;23 - Córdoba;79
202106;23 - Córdoba;85
202107;23 - Córdoba;79
202108;23 - Córdoba;81
202109;23 - Córdoba;72
202110;23 - Córdoba;47
202111;23 - Córdoba;39
202112;23 - Córdoba;54
202101;25 - Cundinamarca;71
202102;25 - Cundinamarca;97
202103;25 - Cundinamarca;105
202104;25 - Cundinamarca;119
202105;25 - Cundinamarca;92
202106;25 - Cundinamarca;94
202107;25 - Cundinamarca;91
202108;25 - Cundinamarca;122
202109;25 - Cundinamarca;116
202110;25 - Cundinamarca;102
202111;25 - Cundinamarca;108
202112;25 - Cundinamarca;83
202101;27 - Chocó;4
202102;27 - Chocó;6
202103;27 - Chocó;4
202104;27 - Chocó;2
202105;27 - Chocó;4
202106;27 - Chocó;4
202107;27 - Chocó;9
202108;27 - Chocó;11
202109;27 - Chocó;8
202110;27 - Chocó;3
202111;27 - Chocó;6
202112;27 - Chocó;1
202101;41 - Huila;51
202102;41 - Huila;73
202103;41 - Huila;112
202104;41 - Huila;93
202105;41 - Huila;93
202106;41 - Huila;109
202107;41 - Huila;97
202108;41 - Huila;99
202109;41 - Huila;85
202110;41 - Huila;104
202111;41 - Huila;116
202112;41 - Huila;115
202101;44 - La Guajira;16
202102;44 - La Guajira;14
202103;44 - La Guajira;8
202104;44 - La Guajira;7
202105;44 - La Guajira;13
202106;44 - La Guajira;9
202107;44 - La Guajira;12
202108;44 - La Guajira;10
202109;44 - La Guajira;11
202110;44 - La Guajira;16
202111;44 - La Guajira;16
202112;44 - La Guajira;17
202101;47 - Magdalena;18
202102;47 - Magdalena;22
202103;47 - Magdalena;15
202104;47 - Magdalena;21
202105;47 - Magdalena;27
202106;47 - Magdalena;23
202107;47 - Magdalena;17
202108;47 - Magdalena;18
202109;47 - Magdalena;23
202110;47 - Magdalena;23
202111;47 - Magdalena;14
202112;47 - Magdalena;12
202101;50 - Meta;35
202102;50 - Meta;39
202103;50 - Meta;54
202104;50 - Meta;46
202105;50 - Meta;37
202106;50 - Meta;51
202107;50 - Meta;51
202108;50 - Meta;34
202109;50 - Meta;42
202110;50 - Meta;35
202111;50 - Meta;50
202112;50 - Meta;51
202101;52 - Nariño;100
202102;52 - Nariño;95
202103;52 - Nariño;110
202104;52 - Nariño;111
202105;52 - Nariño;131
202106;52 - Nariño;94
202107;52 - Nariño;110
202108;52 - Nariño;92
202109;52 - Nariño;71
202110;52 - Nariño;55
202111;52 - Nariño;90
202112;52 - Nariño;43
202101;54 - Norte de Santander;34
202102;54 - Norte de Santander;44
202103;54 - Norte de Santander;77
202104;54 - Norte de Santander;64
202105;54 - Norte de Santander;69
202106;54 - Norte de Santander;58
202107;54 - Norte de Santander;65
202108;54 - Norte de Santander;77
202109;54 - Norte de Santander;80
202110;54 - Norte de Santander;52
202111;54 - Norte de Santander;48
202112;54 - Norte de Santander;65
202101;63 - Quindio;38
202102;63 - Quindio;34
202103;63 - Quindio;43
202104;63 - Quindio;36
202105;63 - Quindio;57
202106;63 - Quindio;82
202107;63 - Quindio;59
202108;63 - Quindio;75
202109;63 - Quindio;81
202110;63 - Quindio;41
202111;63 - Quindio;57
202112;63 - Quindio;58
202101;66 - Risaralda;31
202102;66 - Risaralda;64
202103;66 - Risaralda;53
202104;66 - Risaralda;66
202105;66 - Risaralda;66
202106;66 - Risaralda;92
202107;66 - Risaralda;59
202108;66 - Risaralda;58
202109;66 - Risaralda;93
202110;66 - Risaralda;51
202111;66 - Risaralda;51
202112;66 - Risaralda;82
202101;68 - Santander;113
202102;68 - Santander;144
202103;68 - Santander;165
202104;68 - Santander;158
202105;68 - Santander;163
202106;68 - Santander;166
202107;68 - Santander;166
202108;68 - Santander;169
202109;68 - Santander;213
202110;68 - Santander;142
202111;68 - Santander;177
202112;68 - Santander;185
202101;70 - Sucre;34
202102;70 - Sucre;43
202103;70 - Sucre;51
202104;70 - Sucre;34
202105;70 - Sucre;50
202106;70 - Sucre;37
202107;70 - Sucre;40
202108;70 - Sucre;36
202109;70 - Sucre;37
202110;70 - Sucre;27
202111;70 - Sucre;23
202112;70 - Sucre;8
202101;73 - Tolima;36
202102;73 - Tolima;67
202103;73 - Tolima;78
202104;73 - Tolima;64
202105;73 - Tolima;66
202106;73 - Tolima;73
202107;73 - Tolima;60
202108;73 - Tolima;60
202109;73 - Tolima;70
202110;73 - Tolima;45
202111;73 - Tolima;34
202112;73 - Tolima;53
202101;76 - Valle del Cauca;252
202102;76 - Valle del Cauca;332
202103;76 - Valle del Cauca;417
202104;76 - Valle del Cauca;338
202105;76 - Valle del Cauca;347
202106;76 - Valle del Cauca;427
202107;76 - Valle del Cauca;414
202108;76 - Valle del Cauca;399
202109;76 - Valle del Cauca;405
202110;76 - Valle del Cauca;277
202111;76 - Valle del Cauca;321
202112;76 - Valle del Cauca;321
202101;81 - Arauca;5
202102;81 - Arauca;6
202103;81 - Arauca;11
202104;81 - Arauca;11
202105;81 - Arauca;14
202106;81 - Arauca;9
202107;81 - Arauca;5
202108;81 - Arauca;7
202109;81 - Arauca;14
202110;81 - Arauca;8
202111;81 - Arauca;5
202112;81 - Arauca;14
202101;85 - Casanare;4
202102;85 - Casanare;2
202103;85 - Casanare;10
202104;85 - Casanare;3
202105;85 - Casanare;6
202106;85 - Casanare;6
202107;85 - Casanare;12
202108;85 - Casanare;13
202109;85 - Casanare;7
202110;85 - Casanare;4
202111;85 - Casanare;11
202112;85 - Casanare;12
202101;86 - Putumayo;10
202102;86 - Putumayo;8
202103;86 - Putumayo;12
202104;86 - Putumayo;17
202105;86 - Putumayo;12
202106;86 - Putumayo;13
202107;86 - Putumayo;18
202108;86 - Putumayo;12
202109;86 - Putumayo;7
202110;86 - Putumayo;6
202111;86 - Putumayo;20
202112;86 - Putumayo;6
202101;88 - Archipiélago de San Andrés, Providencia y Santa Catalina;1
202102;88 - Archipiélago de San Andrés, Providencia y Santa Catalina;2
202103;88 - Archipiélago de San Andrés, Providencia y Santa Catalina;1
202104;88 - Archipiélago de San Andrés, Providencia y Santa Catalina;2
202105;88 - Archipiélago de San Andrés, Providencia y Santa Catalina;2
202108;88 - Archipiélago de San Andrés, Providencia y Santa Catalina;1
202109;88 - Archipiélago de San Andrés, Providencia y Santa Catalina;1
202110;88 - Archipiélago de San Andrés, Providencia y Santa Catalina;1
202111;88 - Archipiélago de San Andrés, Providencia y Santa Catalina;1
202106;91 - Amazonas;1
202105;94 - Guainía;1
202101;95 - Guaviare;1
202103;95 - Guaviare;1
202106;95 - Guaviare;3
202107;95 - Guaviare;1
202108;95 - Guaviare;2
202110;95 - Guaviare;1
202112;95 - Guaviare;1
202109;99 - Vichada;1
202102;-1 - NO DEFINIDO;58
202103;-1 - NO DEFINIDO;60
202104;-1 - NO DEFINIDO;62
202105;-1 - NO DEFINIDO;61
202106;-1 - NO DEFINIDO;73
202107;-1 - NO DEFINIDO;78
202108;-1 - NO DEFINIDO;3
202109;-1 - NO DEFINIDO;31
202110;-1 - NO DEFINIDO;31
202111;-1 - NO DEFINIDO;75
202112;-1 - NO DEFINIDO;4
