PeriodoNum;Departamento;CantidadPacientes
201201;05 - Antioquia;246
201202;05 - Antioquia;245
201203;05 - Antioquia;240
201204;05 - Antioquia;237
201205;05 - Antioquia;238
201206;05 - Antioquia;204
201207;05 - Antioquia;203
201208;05 - Antioquia;248
201209;05 - Antioquia;262
201210;05 - Antioquia;306
201211;05 - Antioquia;195
201212;05 - Antioquia;153
201201;08 - Atlántico;37
201202;08 - Atlántico;53
201203;08 - Atlántico;41
201204;08 - Atlántico;37
201205;08 - Atlántico;55
201206;08 - Atlántico;35
201207;08 - Atlántico;39
201208;08 - Atlántico;37
201209;08 - Atlántico;47
201210;08 - Atlántico;43
201211;08 - Atlántico;36
201212;08 - Atlántico;36
201201;11 - Bogotá, D.C.;399
201202;11 - Bogotá, D.C.;361
201203;11 - Bogotá, D.C.;396
201204;11 - Bogotá, D.C.;407
201205;11 - Bogotá, D.C.;464
201206;11 - Bogotá, D.C.;380
201207;11 - Bogotá, D.C.;408
201208;11 - Bogotá, D.C.;422
201209;11 - Bogotá, D.C.;367
201210;11 - Bogotá, D.C.;383
201211;11 - Bogotá, D.C.;366
201212;11 - Bogotá, D.C.;377
201201;13 - Bolívar;63
201202;13 - Bolívar;40
201203;13 - Bolívar;45
201204;13 - Bolívar;54
201205;13 - Bolívar;55
201206;13 - Bolívar;42
201207;13 - Bolívar;46
201208;13 - Bolívar;28
201209;13 - Bolívar;19
201210;13 - Bolívar;44
201211;13 - Bolívar;41
201212;13 - Bolívar;28
201201;15 - Boyacá;70
201202;15 - Boyacá;75
201203;15 - Boyacá;68
201204;15 - Boyacá;63
201205;15 - Boyacá;95
201206;15 - Boyacá;55
201207;15 - Boyacá;58
201208;15 - Boyacá;56
201209;15 - Boyacá;67
201210;15 - Boyacá;57
201211;15 - Boyacá;45
201212;15 - Boyacá;47
201201;17 - Caldas;28
201202;17 - Caldas;24
201203;17 - Caldas;30
201204;17 - Caldas;17
201205;17 - Caldas;9
201206;17 - Caldas;16
201207;17 - Caldas;16
201208;17 - Caldas;11
201209;17 - Caldas;14
201210;17 - Caldas;16
201211;17 - Caldas;16
201212;17 - Caldas;17
201201;18 - Caquetá;5
201202;18 - Caquetá;9
201203;18 - Caquetá;6
201204;18 - Caquetá;6
201205;18 - Caquetá;7
201206;18 - Caquetá;8
201207;18 - Caquetá;10
201208;18 - Caquetá;6
201209;18 - Caquetá;16
201210;18 - Caquetá;11
201211;18 - Caquetá;10
201212;18 - Caquetá;6
