PeriodoNum;Departamento;CantidadPacientes
201101;05 - Antioquia;200
201102;05 - Antioquia;206
201103;05 - Antioquia;191
201104;05 - Antioquia;173
201105;05 - Antioquia;224
201106;05 - Antioquia;219
201107;05 - Antioquia;164
201108;05 - Antioquia;176
201109;05 - Antioquia;206
201110;05 - Antioquia;141
201111;05 - Antioquia;154
201112;05 - Antioquia;197
201101;08 - Atlántico;46
201102;08 - Atlántico;46
201103;08 - Atlántico;67
201104;08 - Atlántico;42
201105;08 - Atlántico;60
201106;08 - Atlántico;57
201107;08 - Atlántico;41
201108;08 - Atlántico;39
201109;08 - Atlántico;33
201110;08 - Atlántico;13
201111;08 - Atlántico;26
201112;08 - Atlántico;30
201101;11 - Bogotá, D.C.;398
201102;11 - Bogotá, D.C.;417
201103;11 - Bogotá, D.C.;431
201104;11 - Bogotá, D.C.;297
201105;11 - Bogotá, D.C.;430
201106;11 - Bogotá, D.C.;400
201107;11 - Bogotá, D.C.;403
201108;11 - Bogotá, D.C.;397
201109;11 - Bogotá, D.C.;380
201110;11 - Bogotá, D.C.;311
201111;11 - Bogotá, D.C.;351
201112;11 - Bogotá, D.C.;333
201101;13 - Bolívar;22
201102;13 - Bolívar;49
201103;13 - Bolívar;28
201104;13 - Bolívar;31
201105;13 - Bolívar;41
201106;13 - Bolívar;29
201107;13 - Bolívar;30
201108;13 - Bolívar;30
201109;13 - Bolívar;34
201110;13 - Bolívar;32
201111;13 - Bolívar;35
201112;13 - Bolívar;39
201101;15 - Boyacá;71
201102;15 - Boyacá;75
201103;15 - Boyacá;78
201104;15 - Boyacá;54
201105;15 - Boyacá;79
201106;15 - Boyacá;68
201107;15 - Boyacá;67
201108;15 - Boyacá;59
201109;15 - Boyacá;65
201110;15 - Boyacá;33
201111;15 - Boyacá;45
201112;15 - Boyacá;58
201101;17 - Caldas;13
201102;17 - Caldas;21
201103;17 - Caldas;26
201104;17 - Caldas;16
201105;17 - Caldas;22
201106;17 - Caldas;18
201107;17 - Caldas;15
201108;17 - Caldas;13
201109;17 - Caldas;18
