PeriodoNum;Departamento;CantidadPacientes
201501;05 - Antioquia;415
201502;05 - Antioquia;281
201503;05 - Antioquia;388
201504;05 - Antioquia;408
201505;05 - Antioquia;387
201506;05 - Antioquia;396
201507;05 - Antioquia;417
201508;05 - Antioquia;266
201509;05 - Antioquia;233
201510;05 - Antioquia;236
201511;05 - Antioquia;271
201512;05 - Antioquia;224
201501;08 - Atlántico;80
201502;08 - Atlántico;32
201503;08 - Atlántico;75
201504;08 - Atlántico;82
201505;08 - Atlántico;82
201506;08 - Atlántico;67
201507;08 - Atlántico;75
201508;08 - Atlántico;49
201509;08 - Atlántico;45
201510;08 - Atlántico;17
201511;08 - Atlántico;34
201512;08 - Atlántico;40
201501;11 - Bogotá, D.C.;559
201502;11 - Bogotá, D.C.;332
201503;11 - Bogotá, D.C.;499
201504;11 - Bogotá, D.C.;503
201505;11 - Bogotá, D.C.;468
201506;11 - Bogotá, D.C.;373
201507;11 - Bogotá, D.C.;427
201508;11 - Bogotá, D.C.;339
201509;11 - Bogotá, D.C.;323
201510;11 - Bogotá, D.C.;237
201511;11 - Bogotá, D.C.;276
201512;11 - Bogotá, D.C.;330
201501;13 - Bolívar;71
201502;13 - Bolívar;62
201503;13 - Bolívar;75
201504;13 - Bolívar;66
201505;13 - Bolívar;57
201506;13 - Bolívar;54
201507;13 - Bolívar;56
201508;13 - Bolívar;51
201509;13 - Bolívar;34
201510;13 - Bolívar;34
201511;13 - Bolívar;16
201512;13 - Bolívar;30
201501;15 - Boyacá;86
201502;15 - Boyacá;45
201503;15 - Boyacá;71
201504;15 - Boyacá;83
201505;15 - Boyacá;103
201506;15 - Boyacá;70
201507;15 - Boyacá;77
201508;15 - Boyacá;34
201509;15 - Boyacá;27
201510;15 - Boyacá;27
201511;15 - Boyacá;17
201512;15 - Boyacá;48
201501;17 - Caldas;40
201502;17 - Caldas;29
201503;17 - Caldas;42
201504;17 - Caldas;45
201505;17 - Caldas;34
201506;17 - Caldas;44
201507;17 - Caldas;44
201508;17 - Caldas;33
201509;17 - Caldas;35
201510;17 - Caldas;13
201511;17 - Caldas;16
201512;17 - Caldas;15
201501;18 - Caquetá;10
201502;18 - Caquetá;17
201503;18 - Caquetá;13
201504;18 - Caquetá;13
201505;18 - Caquetá;16
201506;18 - Caquetá;16
201507;18 - Caquetá;11
201508;18 - Caquetá;14
201509;18 - Caquetá;8
201510;18 - Caquetá;14
201511;18 - Caquetá;13
201512;18 - Caquetá;5
201501;19 - Cauca;50
201502;19 - Cauca;29
201503;19 - Cauca;40
201504;19 - Cauca;44
201505;19 - Cauca;45
201506;19 - Cauca;30
201507;19 - Cauca;38
201508;19 - Cauca;30
201509;19 - Cauca;30
201510;19 - Cauca;22
201511;19 - Cauca;28
201512;19 - Cauca;29
201501;20 - Cesar;14
201502;20 - Cesar;15
201503;20 - Cesar;19
201504;20 - Cesar;20
201505;20 - Cesar;14
201506;20 - Cesar;20
201507;20 - Cesar;30
201508;20 - Cesar;19
201509;20 - Cesar;18
201510;20 - Cesar;14
201511;20 - Cesar;15
201512;20 - Cesar;17
201501;23 - Córdoba;58
201502;23 - Córdoba;30
201503;23 - Córdoba;59
201504;23 - Córdoba;67
201505;23 - Córdoba;69
201506;23 - Córdoba;48
