PeriodoNum;Departamento;CantidadPacientes
201301;05 - Antioquia;215
201302;05 - Antioquia;183
201303;05 - Antioquia;177
201304;05 - Antioquia;170
201305;05 - Antioquia;170
201306;05 - Antioquia;168
201307;05 - Antioquia;266
201308;05 - Antioquia;318
201309;05 - Antioquia;396
201310;05 - Antioquia;357
201311;05 - Antioquia;303
201312;05 - Antioquia;268
201301;08 - Atlántico;52
201302;08 - Atlántico;49
201303;08 - Atlántico;52
201304;08 - Atlántico;50
201305;08 - Atlántico;42
201306;08 - Atlántico;47
201307;08 - Atlántico;68
201308;08 - Atlántico;71
201309;08 - Atlántico;60
201310;08 - Atlántico;35
201311;08 - Atlántico;43
201312;08 - Atlántico;30
201301;11 - Bogotá, D.C.;423
201302;11 - Bogotá, D.C.;382
201303;11 - Bogotá, D.C.;338
201304;11 - Bogotá, D.C.;323
201305;11 - Bogotá, D.C.;287
201306;11 - Bogotá, D.C.;292
201307;11 - Bogotá, D.C.;376
201308;11 - Bogotá, D.C.;414
201309;11 - Bogotá, D.C.;452
201310;11 - Bogotá, D.C.;436
201311;11 - Bogotá, D.C.;340
201312;11 - Bogotá, D.C.;369
201301;13 - Bolívar;48
201302;13 - Bolívar;39
201303;13 - Bolívar;28
201304;13 - Bolívar;24
201305;13 - Bolívar;39
201306;13 - Bolívar;57
201307;13 - Bolívar;59
201308;13 - Bolívar;62
201309;13 - Bolívar;47
201310;13 - Bolívar;43
201311;13 - Bolívar;34
201312;13 - Bolívar;36
201301;15 - Boyacá;68
201302;15 - Boyacá;50
201303;15 - Boyacá;44
201304;15 - Boyacá;53
201305;15 - Boyacá;70
201306;15 - Boyacá;61
201307;15 - Boyacá;79
201308;15 - Boyacá;46
201309;15 - Boyacá;76
201310;15 - Boyacá;81
201311;15 - Boyacá;72
201312;15 - Boyacá;59
201301;17 - Caldas;18
201302;17 - Caldas;23
201303;17 - Caldas;23
201304;17 - Caldas;23
201305;17 - Caldas;25
201306;17 - Caldas;22
201307;17 - Caldas;19
201308;17 - Caldas;37
201309;17 - Caldas;24
201310;17 - Caldas;28
201311;17 - Caldas;18
201312;17 - Caldas;15
201301;18 - Caquetá;13
201302;18 - Caquetá;9
201303;18 - Caquetá;15
201304;18 - Caquetá;15
201305;18 - Caquetá;18
201306;18 - Caquetá;15
201307;18 - Caquetá;14
201308;18 - Caquetá;21
201309;18 - Caquetá;22
201310;18 - Caquetá;26
201311;18 - Caquetá;14
201312;18 - Caquetá;9
201301;19 - Cauca;55
201302;19 - Cauca;68
201303;19 - Cauca;48
201304;19 - Cauca;46
201305;19 - Cauca;51
201306;19 - Cauca;35
201307;19 - Cauca;54
201308;19 - Cauca;50
201309;19 - Cauca;44
201310;19 - Cauca;39
201311;19 - Cauca;44
201312;19 - Cauca;32
201301;20 - Cesar;5
201302;20 - Cesar;9
201303;20 - Cesar;8
201304;20 - Cesar;8
201305;20 - Cesar;5
201306;20 - Cesar;6
201307;20 - Cesar;10
201308;20 - Cesar;12
201309;20 - Cesar;11
201310;20 - Cesar;12
201311;20 - Cesar;12
201312;20 - Cesar;10
201301;23 - Córdoba;40
201302;23 - Córdoba;35
201303;23 - Córdoba;29
201304;23 - Córdoba;39
201305;23 - Córdoba;45
201306;23 - Córdoba;24
201307;23 - Córdoba;44
201308;23 - Córdoba;51
201309;23 - Córdoba;47
201310;23 - Córdoba;54
201311;23 - Córdoba;39
201312;23 - Córdoba;49
201301;25 - Cundinamarca;30
201302;25 - Cundinamarca;27
201303;25 - Cundinamarca;24
201304;25 - Cundinamarca;24
201305;25 - Cundinamarca;17
201306;25 - Cundinamarca;31
201307;25 - Cundinamarca;37
201308;25 - Cundinamarca;48
