PeriodoNum;Departamento;CantidadPacientes
201001;05 - Antioquia;163
201002;05 - Antioquia;222
201003;05 - Antioquia;251
201004;05 - Antioquia;205
201005;05 - Antioquia;190
201006;05 - Antioquia;242
201007;05 - Antioquia;213
201008;05 - Antioquia;216
201009;05 - Antioquia;215
201010;05 - Antioquia;176
201011;05 - Antioquia;173
201012;05 - Antioquia;169
201001;08 - Atlántico;26
201002;08 - Atlántico;32
201003;08 - Atlántico;26
201004;08 - Atlántico;34
201005;08 - Atlántico;51
201006;08 - Atlántico;27
201007;08 - Atlántico;27
201008;08 - Atlántico;35
201009;08 - Atlántico;35
201010;08 - Atlántico;21
201011;08 - Atlántico;25
201012;08 - Atlántico;18
201001;11 - Bogotá, D.C.;266
201002;11 - Bogotá, D.C.;299
201003;11 - Bogotá, D.C.;339
201004;11 - Bogotá, D.C.;331
201005;11 - Bogotá, D.C.;324
201006;11 - Bogotá, D.C.;316
201007;11 - Bogotá, D.C.;326
201008;11 - Bogotá, D.C.;248
201009;11 - Bogotá, D.C.;276
201010;11 - Bogotá, D.C.;216
201011;11 - Bogotá, D.C.;241
201012;11 - Bogotá, D.C.;191
201001;13 - Bolívar;38
201002;13 - Bolívar;29
201003;13 - Bolívar;12
201004;13 - Bolívar;16
201005;13 - Bolívar;6
201006;13 - Bolívar;11
201007;13 - Bolívar;20
201008;13 - Bolívar;18
201009;13 - Bolívar;20
201010;13 - Bolívar;18
201011;13 - Bolívar;14
201012;13 - Bolívar;26
201001;15 - Boyacá;47
201002;15 - Boyacá;44
201003;15 - Boyacá;49
201004;15 - Boyacá;61
201005;15 - Boyacá;79
201006;15 - Boyacá;78
201007;15 - Boyacá;94
201008;15 - Boyacá;74
201009;15 - Boyacá;72
201010;15 - Boyacá;38
201011;15 - Boyacá;27
201012;15 - Boyacá;20
201001;17 - Caldas;11
201002;17 - Caldas;12
201003;17 - Caldas;11
201004;17 - Caldas;10
201005;17 - Caldas;13
201006;17 - Caldas;12
201007;17 - Caldas;13
201008;17 - Caldas;7
201009;17 - Caldas;16
201010;17 - Caldas;5
201011;17 - Caldas;10
201012;17 - Caldas;10
201001;18 - Caquetá;3
201002;18 - Caquetá;4
201003;18 - Caquetá;4
201004;18 - Caquetá;2
201005;18 - Caquetá;6
201006;18 - Caquetá;5
201007;18 - Caquetá;4
201008;18 - Caquetá;6
201009;18 - Caquetá;4
201010;18 - Caquetá;2
201011;18 - Caquetá;3
201012;18 - Caquetá;6
201001;19 - Cauca;24
201002;19 - Cauca;26
201003;19 - Cauca;37
201004;19 - Cauca;25
201005;19 - Cauca;28
201006;19 - Cauca;18
201007;19 - Cauca;15
201008;19 - Cauca;26
201009;19 - Cauca;20
201010;19 - Cauca;23
201011;19 - Cauca;21
201012;19 - Cauca;26
201001;20 - Cesar;2
201002;20 - Cesar;4
201003;20 - Cesar;2
201004;20 - Cesar;5
201005;20 - Cesar;3
201006;20 - Cesar;4
201007;20 - Cesar;4
201008;20 - Cesar;2
201009;20 - Cesar;2
201010;20 - Cesar;1
201011;20 - Cesar;5
201012;20 - Cesar;3
201001;23 - Córdoba;2
201002;23 - Córdoba;3
201003;23 - Córdoba;6
201004;23 - Córdoba;21
201005;23 - Córdoba;21
201006;23 - Córdoba;26
201007;23 - Córdoba;35
201008;23 - Córdoba;20
201009;23 - Córdoba;21
201010;23 - Córdoba;21
201011;23 - Córdoba;9
201012;23 - Córdoba;10
201001;25 - Cundinamarca;19
201002;25 - Cundinamarca;11
201003;25 - Cundinamarca;24
201004;25 - Cundinamarca;17
201005;25 - Cundinamarca;16
201006;25 - Cundinamarca;19
201007;25 - Cundinamarca;9
201008;25 - Cundinamarca;13
201009;25 - Cundinamarca;18
201010;25 - Cundinamarca;13
201011;25 - Cundinamarca;14
201012;25 - Cundinamarca;14
201004;27 - Chocó;1
201006;27 - Chocó;1
201007;27 - Chocó;1
201010;27 - Chocó;1
201011;27 - Chocó;1
201001;41 - Huila;14
201002;41 - Huila;11
201003;41 - Huila;9
201004;41 - Huila;21
201005;41 - Huila;21
201006;41 - Huila;7
201007;41 - Huila;28
201008;41 - Huila;29
201009;41 - Huila;27
201010;41 - Huila;17
201011;41 - Huila;21
201012;41 - Huila;18
201001;44 - La Guajira;2
201004;44 - La Guajira;2
201007;44 - La Guajira;1
201009;44 - La Guajira;3
201011;44 - La Guajira;3
201012;44 - La Guajira;1
201001;47 - Magdalena;8
201002;47 - Magdalena;4
201003;47 - Magdalena;8
201004;47 - Magdalena;20
201005;47 - Magdalena;14
201006;47 - Magdalena;17
201007;47 - Magdalena;12
201008;47 - Magdalena;14
201009;47 - Magdalena;19
201010;47 - Magdalena;8
201011;47 - Magdalena;7
201012;47 - Magdalena;5
201001;50 - Meta;8
201002;50 - Meta;14
201003;50 - Meta;9
201004;50 - Meta;11
201005;50 - Meta;7
201006;50 - Meta;13
201007;50 - Meta;23
201008;50 - Meta;22
201009;50 - Meta;16
201010;50 - Meta;12
201011;50 - Meta;8
201012;50 - Meta;5
201001;52 - Nariño;40
201002;52 - Nariño;8
201003;52 - Nariño;13
201004;52 - Nariño;10
201005;52 - Nariño;12
201006;52 - Nariño;13
201007;52 - Nariño;28
201008;52 - Nariño;20
201009;52 - Nariño;21
201010;52 - Nariño;21
201011;52 - Nariño;8
201012;52 - Nariño;14
201001;54 - Norte de Santander;10
201002;54 - Norte de Santander;7
201003;54 - Norte de Santander;8
201004;54 - Norte de Santander;21
201005;54 - Norte de Santander;14
201006;54 - Norte de Santander;23
201007;54 - Norte de Santander;17
201008;54 - Norte de Santander;20
201009;54 - Norte de Santander;23
201010;54 - Norte de Santander;7
201011;54 - Norte de Santander;5
201012;54 - Norte de Santander;4
201001;63 - Quindio;15
201002;63 - Quindio;16
201003;63 - Quindio;12
201004;63 - Quindio;23
201005;63 - Quindio;20
201006;63 - Quindio;14
201007;63 - Quindio;9
201008;63 - Quindio;8
201009;63 - Quindio;15
201010;63 - Quindio;10
201011;63 - Quindio;6
201012;63 - Quindio;6
201001;66 - Risaralda;28
201002;66 - Risaralda;23
201003;66 - Risaralda;22
201004;66 - Risaralda;21
201005;66 - Risaralda;45
201006;66 - Risaralda;54
201007;66 - Risaralda;45
201008;66 - Risaralda;46
201009;66 - Risaralda;45
201010;66 - Risaralda;13
201011;66 - Risaralda;15
201012;66 - Risaralda;18
201001;68 - Santander;51
201002;68 - Santander;42
201003;68 - Santander;36
201004;68 - Santander;56
201005;68 - Santander;53
201006;68 - Santander;26
201007;68 - Santander;36
201008;68 - Santander;35
201009;68 - Santander;26
201010;68 - Santander;30
201011;68 - Santander;31
201012;68 - Santander;39
201001;70 - Sucre;5
201002;70 - Sucre;5
201003;70 - Sucre;4
201004;70 - Sucre;3
201005;70 - Sucre;4
201006;70 - Sucre;5
201007;70 - Sucre;3
201008;70 - Sucre;5
201009;70 - Sucre;8
201010;70 - Sucre;5
201011;70 - Sucre;1
201012;70 - Sucre;5
201001;73 - Tolima;32
201002;73 - Tolima;25
201003;73 - Tolima;24
201004;73 - Tolima;25
201005;73 - Tolima;27
201006;73 - Tolima;32
201007;73 - Tolima;28
201008;73 - Tolima;26
201009;73 - Tolima;32
201010;73 - Tolima;32
201011;73 - Tolima;34
201012;73 - Tolima;22
201001;76 - Valle del Cauca;91
201002;76 - Valle del Cauca;109
201003;76 - Valle del Cauca;108
201004;76 - Valle del Cauca;143
201005;76 - Valle del Cauca;119
201006;76 - Valle del Cauca;86
201007;76 - Valle del Cauca;85
201008;76 - Valle del Cauca;82
201009;76 - Valle del Cauca;79
201010;76 - Valle del Cauca;144
201011;76 - Valle del Cauca;55
201012;76 - Valle del Cauca;74
201003;81 - Arauca;3
201006;81 - Arauca;1
201007;81 - Arauca;1
201009;81 - Arauca;1
201010;81 - Arauca;1
201012;81 - Arauca;2
201001;85 - Casanare;2
201002;85 - Casanare;1
201003;85 - Casanare;1
201005;85 - Casanare;2
201006;85 - Casanare;1
201007;85 - Casanare;1
201010;85 - Casanare;1
201012;85 - Casanare;2
201002;86 - Putumayo;1
201003;86 - Putumayo;1
201004;86 - Putumayo;2
201006;86 - Putumayo;1
201010;86 - Putumayo;1
201011;86 - Putumayo;1
201003;95 - Guaviare;1
201011;95 - Guaviare;1
201001;-1 - NO DEFINIDO;6
201002;-1 - NO DEFINIDO;2
201003;-1 - NO DEFINIDO;5
201004;-1 - NO DEFINIDO;5
201005;-1 - NO DEFINIDO;3
201006;-1 - NO DEFINIDO;6
201007;-1 - NO DEFINIDO;4
201008;-1 - NO DEFINIDO;10
201009;-1 - NO DEFINIDO;3
201010;-1 - NO DEFINIDO;1
201011;-1 - NO DEFINIDO;1
