PeriodoNum;Departamento;CantidadPacientes
202001;05 - Antioquia;701
202002;05 - Antioquia;658
202003;05 - Antioquia;420
202004;05 - Antioquia;332
202005;05 - Antioquia;386
202006;05 - Antioquia;395
202007;05 - Antioquia;371
202008;05 - Antioquia;419
202009;05 - Antioquia;560
202010;05 - Antioquia;485
202011;05 - Antioquia;446
202012;05 - Antioquia;390
202001;08 - Atlántico;642
202002;08 - Atlántico;303
202003;08 - Atlántico;117
202004;08 - Atlántico;155
202005;08 - Atlántico;156
202006;08 - Atlántico;223
202007;08 - Atlántico;58
202008;08 - Atlántico;67
202009;08 - Atlántico;88
202010;08 - Atlántico;124
202011;08 - Atlántico;110
202012;08 - Atlántico;95
202001;11 - Bogotá, D.C.;941
202002;11 - Bogotá, D.C.;878
202003;11 - Bogotá, D.C.;733
202004;11 - Bogotá, D.C.;526
202005;11 - Bogotá, D.C.;504
202006;11 - Bogotá, D.C.;562
202007;11 - Bogotá, D.C.;452
202008;11 - Bogotá, D.C.;518
202009;11 - Bogotá, D.C.;657
202010;11 - Bogotá, D.C.;641
202011;11 - Bogotá, D.C.;577
202012;11 - Bogotá, D.C.;391
202001;13 - Bolívar;368
202002;13 - Bolívar;216
202003;13 - Bolívar;64
202004;13 - Bolívar;83
202005;13 - Bolívar;99
202006;13 - Bolívar;93
202007;13 - Bolívar;33
202008;13 - Bolívar;35
202009;13 - Bolívar;51
202010;13 - Bolívar;54
202011;13 - Bolívar;49
202012;13 - Bolívar;53
202001;15 - Boyacá;148
202002;15 - Boyacá;139
202003;15 - Boyacá;122
202004;15 - Boyacá;58
202005;15 - Boyacá;69
202006;15 - Boyacá;97
202007;15 - Boyacá;70
202008;15 - Boyacá;92
202009;15 - Boyacá;117
202010;15 - Boyacá;110
202011;15 - Boyacá;94
202012;15 - Boyacá;56
202001;17 - Caldas;65
202002;17 - Caldas;64
202003;17 - Caldas;48
202004;17 - Caldas;37
202005;17 - Caldas;40
202006;17 - Caldas;50
202007;17 - Caldas;38
202008;17 - Caldas;38
202009;17 - Caldas;60
202010;17 - Caldas;45
202011;17 - Caldas;37
202012;17 - Caldas;27
202001;18 - Caquetá;16
202002;18 - Caquetá;21
202003;18 - Caquetá;13
202004;18 - Caquetá;13
202005;18 - Caquetá;15
202006;18 - Caquetá;11
202007;18 - Caquetá;7
202008;18 - Caquetá;11
202009;18 - Caquetá;27
202010;18 - Caquetá;16
202011;18 - Caquetá;9
202012;18 - Caquetá;7
202001;19 - Cauca;63
202002;19 - Cauca;60
202003;19 - Cauca;51
202004;19 - Cauca;33
202005;19 - Cauca;41
202006;19 - Cauca;41
202007;19 - Cauca;21
202008;19 - Cauca;47
202009;19 - Cauca;58
202010;19 - Cauca;47
202011;19 - Cauca;55
202012;19 - Cauca;23
202001;20 - Cesar;35
202002;20 - Cesar;43
202003;20 - Cesar;39
202004;20 - Cesar;23
202005;20 - Cesar;25
202006;20 - Cesar;20
202007;20 - Cesar;23
202008;20 - Cesar;36
202009;20 - Cesar;42
202010;20 - Cesar;46
202011;20 - Cesar;39
202012;20 - Cesar;27
202001;23 - Córdoba;512
202002;23 - Córdoba;248
202003;23 - Córdoba;116
202004;23 - Córdoba;133
202005;23 - Córdoba;135
202006;23 - Córdoba;148
202007;23 - Córdoba;31
202008;23 - Córdoba;49
202009;23 - Córdoba;65
202010;23 - Córdoba;83
202011;23 - Córdoba;52
202012;23 - Córdoba;41
202001;25 - Cundinamarca;152
202002;25 - Cundinamarca;130
202003;25 - Cundinamarca;111
202004;25 - Cundinamarca;78
202005;25 - Cundinamarca;78
202006;25 - Cundinamarca;88
202007;25 - Cundinamarca;87
202008;25 - Cundinamarca;89
202009;25 - Cundinamarca;135
202010;25 - Cundinamarca;128
202011;25 - Cundinamarca;85
202012;25 - Cundinamarca;68
202001;27 - Chocó;6
202002;27 - Chocó;4
202003;27 - Chocó;4
202004;27 - Chocó;7
202005;27 - Chocó;4
202006;27 - Chocó;3
202007;27 - Chocó;1
202008;27 - Chocó;4
202009;27 - Chocó;1
202010;27 - Chocó;10
202011;27 - Chocó;5
202012;27 - Chocó;2
202001;41 - Huila;83
202002;41 - Huila;91
202003;41 - Huila;78
202004;41 - Huila;53
202005;41 - Huila;68
202006;41 - Huila;84
202007;41 - Huila;60
202008;41 - Huila;58
202009;41 - Huila;97
202010;41 - Huila;78
202011;41 - Huila;61
202012;41 - Huila;63
202001;44 - La Guajira;11
202002;44 - La Guajira;18
202003;44 - La Guajira;15
202004;44 - La Guajira;13
202005;44 - La Guajira;16
202006;44 - La Guajira;18
202007;44 - La Guajira;15
202008;44 - La Guajira;22
202009;44 - La Guajira;13
202010;44 - La Guajira;14
202011;44 - La Guajira;12
202012;44 - La Guajira;4
202001;47 - Magdalena;271
202002;47 - Magdalena;73
202003;47 - Magdalena;26
202004;47 - Magdalena;43
202005;47 - Magdalena;45
202006;47 - Magdalena;57
202007;47 - Magdalena;11
202008;47 - Magdalena;9
202009;47 - Magdalena;30
202010;47 - Magdalena;30
202011;47 - Magdalena;27
202012;47 - Magdalena;13
202001;50 - Meta;60
202002;50 - Meta;73
202003;50 - Meta;63
202004;50 - Meta;35
202005;50 - Meta;49
202006;50 - Meta;53
202007;50 - Meta;32
202008;50 - Meta;48
202009;50 - Meta;37
202010;50 - Meta;46
202011;50 - Meta;44
202012;50 - Meta;37
202001;52 - Nariño;152
202002;52 - Nariño;160
