PeriodoNum;Departamento;CantidadPacientes
201701;05 - Antioquia;241
201702;05 - Antioquia;261
201703;05 - Antioquia;299
201704;05 - Antioquia;278
201705;05 - Antioquia;296
201706;05 - Antioquia;319
201707;05 - Antioquia;284
201708;05 - Antioquia;371
201709;05 - Antioquia;359
201710;05 - Antioquia;392
201711;05 - Antioquia;398
201712;05 - Antioquia;341
201701;08 - Atlántico;42
201702;08 - Atlántico;43
201703;08 - Atlántico;44
201704;08 - Atlántico;35
201705;08 - Atlántico;53
201706;08 - Atlántico;52
201707;08 - Atlántico;48
201708;08 - Atlántico;52
201709;08 - Atlántico;58
201710;08 - Atlántico;83
201711;08 - Atlántico;74
201712;08 - Atlántico;53
201701;11 - Bogotá, D.C.;379
201702;11 - Bogotá, D.C.;327
201703;11 - Bogotá, D.C.;369
201704;11 - Bogotá, D.C.;441
201705;11 - Bogotá, D.C.;511
201706;11 - Bogotá, D.C.;492
201707;11 - Bogotá, D.C.;476
201708;11 - Bogotá, D.C.;518
201709;11 - Bogotá, D.C.;568
201710;11 - Bogotá, D.C.;1583
201711;11 - Bogotá, D.C.;9340
201712;11 - Bogotá, D.C.;397
201701;13 - Bolívar;37
201702;13 - Bolívar;44
201703;13 - Bolívar;38
201704;13 - Bolívar;53
201705;13 - Bolívar;43
201706;13 - Bolívar;38
201707;13 - Bolívar;38
201708;13 - Bolívar;47
201709;13 - Bolívar;48
201710;13 - Bolívar;41
201711;13 - Bolívar;47
201712;13 - Bolívar;53
201701;15 - Boyacá;50
201702;15 - Boyacá;41
201703;15 - Boyacá;41
201704;15 - Boyacá;47
201705;15 - Boyacá;57
201706;15 - Boyacá;54
201707;15 - Boyacá;42
201708;15 - Boyacá;52
201709;15 - Boyacá;60
201710;15 - Boyacá;70
201711;15 - Boyacá;101
201712;15 - Boyacá;71
201701;17 - Caldas;22
201702;17 - Caldas;11
201703;17 - Caldas;15
201704;17 - Caldas;30
201705;17 - Caldas;40
201706;17 - Caldas;46
201707;17 - Caldas;48
201708;17 - Caldas;43
201709;17 - Caldas;39
201710;17 - Caldas;36
201711;17 - Caldas;35
201712;17 - Caldas;44
201701;18 - Caquetá;4
201702;18 - Caquetá;3
201703;18 - Caquetá;2
201704;18 - Caquetá;3
201705;18 - Caquetá;14
201706;18 - Caquetá;15
201707;18 - Caquetá;22
201708;18 - Caquetá;22
201709;18 - Caquetá;21
201710;18 - Caquetá;25
201711;18 - Caquetá;25
201712;18 - Caquetá;26
201701;19 - Cauca;17
201702;19 - Cauca;10
201703;19 - Cauca;17
201704;19 - Cauca;28
201705;19 - Cauca;49
201706;19 - Cauca;48
201707;19 - Cauca;55
201708;19 - Cauca;38
201709;19 - Cauca;48
201710;19 - Cauca;52
201711;19 - Cauca;55
201712;19 - Cauca;41
201701;20 - Cesar;10
201702;20 - Cesar;13
201703;20 - Cesar;15
201704;20 - Cesar;19
201705;20 - Cesar;17
201706;20 - Cesar;21
201707;20 - Cesar;24
201708;20 - Cesar;19
201709;20 - Cesar;19
201710;20 - Cesar;18
201711;20 - Cesar;10
201712;20 - Cesar;14
201701;23 - Córdoba;26
201702;23 - Córdoba;33
201703;23 - Córdoba;62
201704;23 - Córdoba;58
201705;23 - Córdoba;84
201706;23 - Córdoba;76
201707;23 - Córdoba;84
201708;23 - Córdoba;95
201709;23 - Córdoba;82
201710;23 - Córdoba;115
201711;23 - Córdoba;95
201712;23 - Córdoba;91
201701;25 - Cundinamarca;65
201702;25 - Cundinamarca;70
201703;25 - Cundinamarca;75
201704;25 - Cundinamarca;82
201705;25 - Cundinamarca;70
201706;25 - Cundinamarca;62
201707;25 - Cundinamarca;90
201708;25 - Cundinamarca;92
201709;25 - Cundinamarca;107
201710;25 - Cundinamarca;224
201711;25 - Cundinamarca;1263
201712;25 - Cundinamarca;74
201701;27 - Chocó;8
201702;27 - Chocó;6
201703;27 - Chocó;5
201704;27 - Chocó;3
201705;27 - Chocó;5
201706;27 - Chocó;10
201707;27 - Chocó;10
201708;27 - Chocó;4
201709;27 - Chocó;4
201710;27 - Chocó;2
201711;27 - Chocó;3
201712;27 - Chocó;4
201701;41 - Huila;29
201702;41 - Huila;29
201703;41 - Huila;25
201704;41 - Huila;32
201705;41 - Huila;51
201706;41 - Huila;39
201707;41 - Huila;61
201708;41 - Huila;73
201709;41 - Huila;55
201710;41 - Huila;72
201711;41 - Huila;80
201712;41 - Huila;47
201701;44 - La Guajira;4
201702;44 - La Guajira;3
201703;44 - La Guajira;5
201704;44 - La Guajira;7
201705;44 - La Guajira;9
201706;44 - La Guajira;6
201707;44 - La Guajira;12
201708;44 - La Guajira;14
201709;44 - La Guajira;20
201710;44 - La Guajira;11
201711;44 - La Guajira;8
