PeriodoNum;Edad;CantidadPacientes
202201;0;4
202202;0;2
202203;0;5
202204;0;2
202205;0;6
202206;0;3
202201;1;3
202202;1;3
202203;1;6
202204;1;6
202205;1;5
202201;2;3
202203;2;1
202204;2;3
202205;2;2
202202;3;1
202203;3;1
202204;3;4
202205;3;3
202206;3;3
202201;4;2
202202;4;1
202203;4;1
202205;4;1
202201;5;1
202202;5;2
202205;5;1
202206;5;1
202201;6;2
202202;6;4
202203;6;2
202205;6;2
202201;7;2
202202;7;1
202203;7;2
202204;7;1
202205;7;3
202206;7;2
202201;8;2
202203;8;1
202204;8;2
202205;8;2
202206;8;1
202201;9;4
202202;9;4
202203;9;2
202204;9;2
202205;9;5
202201;10;1
202202;10;1
202203;10;1
202204;10;2
202205;10;1
202201;11;4
202202;11;1
202203;11;2
202204;11;3
202205;11;1
202206;11;1
202201;12;3
202203;12;2
202204;12;2
202205;12;3
202203;13;2
202205;13;3
202206;13;1
202201;14;3
202202;14;1
202203;14;3
202204;14;2
202201;15;1
202202;15;3
202203;15;3
202204;15;1
202205;15;2
202206;15;1
202201;16;5
202202;16;2
202203;16;2
202204;16;1
202205;16;2
202206;16;1
202201;17;5
202202;17;2
202203;17;6
202204;17;5
202205;17;4
202206;17;5
202201;18;5
202202;18;1
202203;18;5
202204;18;4
202205;18;4
202201;19;4
202202;19;3
202203;19;5
202204;19;6
202205;19;8
202206;19;3
202201;20;4
202202;20;3
202203;20;6
202204;20;5
202205;20;2
202201;21;6
202202;21;2
202203;21;5
202204;21;9
202205;21;10
202206;21;3
202201;22;2
202202;22;4
202203;22;6
202204;22;1
202205;22;7
202206;22;3
202201;23;7
202202;23;3
202203;23;5
202204;23;10
202205;23;7
202206;23;3
202201;24;4
202202;24;4
202203;24;13
202204;24;3
202205;24;6
202206;24;2
202201;25;10
202202;25;2
202203;25;4
202204;25;5
202205;25;8
202206;25;1
202201;26;11
202202;26;3
202203;26;6
202204;26;8
202205;26;10
202206;26;1
202201;27;10
202202;27;4
202203;27;9
202204;27;6
202205;27;9
202206;27;3
202201;28;6
202202;28;2
202203;28;10
202204;28;12
202205;28;11
202206;28;1
202201;29;6
202202;29;5
